Date,Project,ColonyID,surface_area_cm2_fraggrameter,Notes
2023-04-15,CAREER - Phys,1,27.57,Wax dipped
2023-09-14,CAREER - Phys,1,20.03687937,
2024-01-20,CAREER - Phys,1,24.16317003,
2024-05-09,CAREER - Phys,1,23.8873267,
2024-10-01,CAREER - Phys,1,15.70630826,
2025-01-09,CAREER - Phys,1,12.93963472,
2025-05-08,CAREER - Phys,1,21.44760345,
2023-04-15,CAREER - Phys,2,14.66,Wax dipped
2023-09-14,CAREER - Phys,2,20.18991445,
2024-01-20,CAREER - Phys,2,24.41382674,
2024-05-09,CAREER - Phys,2,17.01745478,Chamber vol for May 2024 from https://docs.google.com/spreadsheets/d/13gIjPfTB01INNaudqHc24-o7gXok3zQx2ttnW5mRKAw/edit?gid=0#gid=0 and cross-referencing round and zub # to Run and light zub # from https://docs.google.com/spreadsheets/d/13g-BwexGEIjBTK7elHVnbd9stiIZstRwJwRray-T18Y/edit?gid=0#gid=0. SA for May 2024 from NSF_Career_May_Phys_mesh_measure
2024-10-01,CAREER - Phys,2,22.72692876,
2025-01-09,CAREER - Phys,2,17.54709409,
2025-05-08,CAREER - Phys,2,19.84785402,
2023-04-15,CAREER - Phys,3,10.4,Wax dipped
2023-09-15,CAREER - Phys,3,18.19752998,
2024-01-20,CAREER - Phys,3,13.92469729,
2024-05-09,CAREER - Phys,3,10.30313478,
2024-10-02,CAREER - Phys,3,15.54114824,Coral 3 (chamber 5) is a sad nub
2025-01-09,CAREER - Phys,3,6.583136094,Chamber vol for Jan 2025 from https://docs.google.com/spreadsheets/d/1lez5iBINVi3tjcowenmlMVcdq3d2JUWCKHbAvpJcZgU/edit?gid=0#gid=0 and cross-referencing round and zub # to Run and light zub # from https://docs.google.com/spreadsheets/d/1E3QAKFHJU8Dky9mAnQ6DuLwcaJeigrLag4_3-VOz4zA/edit?gid=0#gid=0. SA for Jan 2025 has not been received from Spencer yet
