ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
242,1,1,0,320,10.019003124999983,-0.4879968749999932,71.003,86.954,-0.49399687499999345,10.694003124999995,-0.8073565117866874
242,1,2,155,300,-15.96884121621622,-18.645841216216212,0,14.954,-18.8278412162162,-15.96884121621622,-0.11494580751179981
242,1,3,269,200,-18.36291,-17.51391000000001,16.004,25.954,-18.63691,-17.51391000000001,0.11467732953499027
242,1,4,472,200,-16.832895000000008,-13.531894999999992,27.004,36.954,-16.99589499999999,-13.437894999999997,0.3801068535281608
242,1,5,824,200,-12.33185499999999,-7.083855,38.004,47.954,-12.33185499999999,-7.083855,0.5202948293928036
242,1,6,1017,200,-5.720789999999994,0.7642099999999914,49.004,58.954,-5.720789999999994,0.7812099999999873,0.6809833641255052
242,1,7,1313,200,2.0543150000000026,8.814315000000022,60.004,69.954,2.0543150000000026,8.930315000000007,0.672069188347119
