ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
blank,3,1,0,320,0.28680625000001214,-0.31419374999998695,286.785,302.735,-0.7151937499999974,0.6728062500000078,-0.05029767903795044
blank,3,2,155,304,0.6902302631579005,-0.9167697368420988,214.576,229.735,-0.9167697368420988,0.9612302631578871,-0.08407240786589179
blank,3,3,269,200,0.6680849999999907,-0.4909150000000011,230.784,240.734,-0.6879150000000038,0.7960849999999766,-0.08308609389628645
blank,3,4,472,200,0.5092049999999801,-0.25879500000002054,241.784,251.735,-0.7027950000000089,0.6502049999999997,-0.09132686718585593
blank,3,5,824,220,0.3152136363636373,-0.36278636363635997,252.785,263.735,-0.6747863636363718,0.7162136363636193,-0.08317311354369643
blank,3,6,1017,200,0.40353999999999246,-0.6134600000000034,264.785,274.735,-0.6824600000000203,0.6735399999999743,-0.060868660390157724
blank,3,7,1313,200,0.4122700000000066,-0.41372999999998683,275.785,285.735,-0.6977300000000071,0.5942699999999945,-0.07392743109139335
