ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
44,2,1,0,320,62.915793750000006,50.637793750000014,177.732,193.682,50.637793750000014,64.31679375000002,-1.0561152028984315
44,2,2,155,291,1.9983645484949761,-1.9396354515050405,106.177,120.682,-1.9936354515050425,2.1663645484949825,-0.20755985990558884
44,2,3,269,200,-0.9383930348258787,-0.01739303482588639,121.732,131.682,-1.505393034825886,-0.015393034825876839,0.14536300978015076
44,2,4,472,200,1.140825870646779,7.632825870646769,132.732,142.682,1.140825870646779,7.632825870646769,0.8093744451544014
44,2,5,824,200,9.581671641791047,21.04467164179104,143.732,153.682,9.575671641791047,21.04467164179104,1.2381601451983146
44,2,6,1017,200,23.60464179104477,37.66464179104477,154.732,164.682,23.49364179104478,37.79064179104478,1.5105423760818275
44,2,7,1313,200,40.764915422885565,57.61191542288557,165.732,175.682,40.764915422885565,57.62091542288556,1.708741588079109
