ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
202,1,1,0,321,-5.474996875000016,-13.80899687500002,70.751,86.751,-13.80899687500002,-3.846996875000002,-0.836568399616588
202,1,2,155,296,-51.9238412162162,-51.844841216216196,0,14.751,-52.99084121621621,-51.78984121621622,0.08559577774070662
202,1,3,269,201,-51.405910000000006,-48.03991000000002,15.751,25.751,-51.69591,-47.887910000000005,0.3855511972950459
202,1,4,472,201,-46.778895000000006,-40.099895000000004,26.752,36.751,-46.99989500000001,-39.842895,0.7377706157375248
202,1,5,824,201,-38.48385499999998,-29.749854999999997,37.751,47.752,-38.51085499999999,-29.687854999999985,0.8761962142662585
202,1,6,1017,201,-28.00979000000001,-18.02378999999999,48.751,58.751,-28.00979000000001,-18.002790000000005,1.0145416949598174
202,1,7,1313,201,-16.024684999999977,-7.029685000000001,59.751,69.752,-16.28168499999998,-6.969684999999998,0.9328414571404178
