"","ColonyID","Run.x","Interval","Light_Value","N_points","O2_start","O2_end","DeltaT_min","DeltaT_max","O2_min","O2_max","Slope","Date","Project","Timepoint","Run.y","Chamber","Species","Phenotype","Chamber_Volume_mL","Notes","...11","...12","...13","Surface_Area_cm2","Chamber_Volume_L","Slope_norm"
"1","242",1,1,0,320,10.019003125,-0.487996874999993,71.003,86.954,-0.493996874999993,10.694003125,-0.807356511786687,2026-01-21,"CAREER - Phys","January_2026",2,2,"Porites compressa","Resistant",246.659,NA,NA,NA,NA,10,0.246659,-1.19485049904476
"2","242",1,2,155,300,-15.9688412162162,-18.6458412162162,0,14.954,-18.8278412162162,-15.9688412162162,-0.1149458075118,2026-01-21,"CAREER - Phys","January_2026",2,2,"Porites compressa","Resistant",246.659,NA,NA,NA,NA,10,0.246659,-0.170114507610318
"3","242",1,3,269,200,-18.36291,-17.51391,16.004,25.954,-18.63691,-17.51391,0.11467732953499,2026-01-21,"CAREER - Phys","January_2026",2,2,"Porites compressa","Resistant",246.659,NA,NA,NA,NA,10,0.246659,0.169717172554627
"4","242",1,4,472,200,-16.832895,-13.531895,27.004,36.954,-16.995895,-13.437895,0.380106853528161,2026-01-21,"CAREER - Phys","January_2026",2,2,"Porites compressa","Resistant",246.659,NA,NA,NA,NA,10,0.246659,0.562540658306416
"5","242",1,5,824,200,-12.331855,-7.083855,38.004,47.954,-12.331855,-7.083855,0.520294829392804,2026-01-21,"CAREER - Phys","January_2026",2,2,"Porites compressa","Resistant",246.659,NA,NA,NA,NA,10,0.246659,0.770012413939197
"6","242",1,6,1017,200,-5.72078999999999,0.764209999999991,49.004,58.954,-5.72078999999999,0.781209999999987,0.680983364125505,2026-01-21,"CAREER - Phys","January_2026",2,2,"Porites compressa","Resistant",246.659,NA,NA,NA,NA,10,0.246659,1.007824053671
"7","242",1,7,1313,200,2.054315,8.81431500000002,60.004,69.954,2.054315,8.93031500000001,0.672069188347119,2026-01-21,"CAREER - Phys","January_2026",2,2,"Porites compressa","Resistant",246.659,NA,NA,NA,NA,10,0.246659,0.994631483571072
"8","42",3,1,0,320,76.74180625,64.12380625,286.987,302.937,64.12380625,77.18280625,-0.947092436371364,2026-01-21,"CAREER - Phys","January_2026",1,3,"Porites compressa","Resistant",247.018,NA,NA,NA,NA,10,0.247018,-1.40369327668549
"9","42",3,2,155,309,29.0492302631579,26.1462302631579,214.538,229.937,26.0092302631579,29.0492302631579,-0.171721543552843,2026-01-21,"CAREER - Phys","January_2026",1,3,"Porites compressa","Resistant",247.018,NA,NA,NA,NA,10,0.247018,-0.254509873472017
"10","42",3,3,269,200,27.118085,28.316085,230.987,240.937,26.875085,28.316085,0.128772497892236,2026-01-21,"CAREER - Phys","January_2026",1,3,"Porites compressa","Resistant",247.018,NA,NA,NA,NA,10,0.247018,0.190854749306066
"11","42",3,4,472,200,29.300205,34.200205,241.987,251.937,29.140205,34.302205,0.562548273431072,2026-01-21,"CAREER - Phys","January_2026",1,3,"Porites compressa","Resistant",247.018,NA,NA,NA,NA,10,0.247018,0.833757296438379
"12","42",3,5,824,220,35.9652136363636,45.9092136363636,252.987,263.937,35.8592136363636,45.9752136363636,0.935127555764815,2026-01-21,"CAREER - Phys","January_2026",1,3,"Porites compressa","Resistant",247.018,NA,NA,NA,NA,10,0.247018,1.38596003141948
"13","42",3,6,1017,200,47.88854,59.16354,264.987,274.937,47.88854,59.22954,1.16334805962852,2026-01-21,"CAREER - Phys","January_2026",1,3,"Porites compressa","Resistant",247.018,NA,NA,NA,NA,10,0.247018,1.7242074659599
"14","42",3,7,1313,200,61.37127,74.23427,275.988,285.937,61.31327,74.56827,1.32420218174043,2026-01-21,"CAREER - Phys","January_2026",1,3,"Porites compressa","Resistant",247.018,NA,NA,NA,NA,10,0.247018,1.96261064717494
"15","204",4,1,0,300,38.8413166666667,30.3583166666667,396.004,410.954,30.3583166666667,39.3403166666667,-0.689591199969037,2026-01-21,"CAREER - Phys","January_2026",4,2,"Montipora capitata","Resistant",243.909,NA,NA,NA,NA,10,0.243909,-1.00918499995949
"16","204",4,2,155,320,-9.56231249999999,-7.15831249999999,323.004,338.954,-9.78931249999999,-7.15831249999999,0.188804994755153,2026-01-21,"CAREER - Phys","January_2026",4,2,"Montipora capitata","Resistant",243.909,NA,NA,NA,NA,10,0.243909,0.276307424794407
"17","204",4,3,269,200,-5.37721500000001,-1.53221500000001,340.004,349.954,-5.48621500000002,-1.11521500000001,0.450208223199339,2026-01-21,"CAREER - Phys","January_2026",4,2,"Montipora capitata","Resistant",243.909,NA,NA,NA,NA,10,0.243909,0.658859025073966
"18","204",4,4,472,220,0.504327272727267,7.14832727272727,351.004,361.954,0.504327272727267,7.14832727272727,0.550190935576811,2026-01-21,"CAREER - Phys","January_2026",4,2,"Montipora capitata","Resistant",243.909,NA,NA,NA,NA,10,0.243909,0.805179125433626
"19","204",4,5,824,200,9.06659500000001,16.386595,363.004,372.953,9.06659500000001,16.386595,0.719817245629766,2026-01-21,"CAREER - Phys","January_2026",4,2,"Montipora capitata","Resistant",243.909,NA,NA,NA,NA,10,0.243909,1.05341942738586
"20","204",4,6,1017,200,18.35192,25.91192,374.004,383.954,18.35192,25.91192,0.762670478648392,2026-01-21,"CAREER - Phys","January_2026",4,2,"Montipora capitata","Resistant",243.909,NA,NA,NA,NA,10,0.243909,1.1161331626599
"21","204",4,7,1313,200,28.3433,36.1613,385.003,394.954,28.3433,36.1843,0.809194824983155,2026-01-21,"CAREER - Phys","January_2026",4,2,"Montipora capitata","Resistant",243.909,NA,NA,NA,NA,10,0.243909,1.1842194034009
"22","41",5,1,0,300,113.206541528239,100.182541528239,503.004,517.954,100.161541528239,113.565541528239,-1.04125512303448,2026-01-21,"CAREER - Phys","January_2026",3,10,"Porites compressa","Susceptible",246.966,NA,NA,NA,NA,10,0.246966,-1.54292767629201
"23","41",5,2,155,300,48.4549230769231,45.9229230769231,430.999,445.954,45.8299230769231,48.4549230769231,-0.133390720409141,2026-01-21,"CAREER - Phys","January_2026",3,10,"Porites compressa","Susceptible",246.966,NA,NA,NA,NA,10,0.246966,-0.197657835939383
"24","41",5,3,269,200,47.1799054726368,49.4529054726368,447.004,456.954,47.0619054726368,49.4699054726368,0.299727028906606,2026-01-21,"CAREER - Phys","January_2026",3,10,"Porites compressa","Susceptible",246.966,NA,NA,NA,NA,10,0.246966,0.444134312525693
"25","41",5,4,472,200,50.8363631840796,58.4663631840796,458.004,467.954,50.7173631840796,58.4663631840796,0.831649243470135,2026-01-21,"CAREER - Phys","January_2026",3,10,"Porites compressa","Susceptible",246.966,NA,NA,NA,NA,10,0.246966,1.23233452237707
"26","41",5,5,824,220,59.5053529411765,72.7263529411765,468.004,478.953,59.5053529411765,72.7863529411765,1.27227849802097,2026-01-21,"CAREER - Phys","January_2026",3,10,"Porites compressa","Susceptible",246.966,NA,NA,NA,NA,10,0.246966,1.88525718925348
"27","41",5,6,1017,200,75.2850099502488,90.4440099502488,480.004,489.954,75.1590099502488,90.4440099502488,1.55570670036165,2026-01-21,"CAREER - Phys","January_2026",3,10,"Porites compressa","Susceptible",246.966,NA,NA,NA,NA,10,0.246966,2.30523996576909
"28","41",5,7,1313,200,92.8995024875622,109.331502487562,491.004,500.953,92.8995024875622,109.331502487562,1.67309281594225,2026-01-21,"CAREER - Phys","January_2026",3,10,"Porites compressa","Susceptible",246.966,NA,NA,NA,NA,10,0.246966,2.47918224229197
"29","238",1,1,0,320,48.804003125,32.460003125,70.656,86.606,32.327003125,49.786003125,-1.30459554203287,2026-01-21,"CAREER - Phys","January_2026",4,1,"Porites compressa","Resistant",247.105,NA,NA,NA,NA,10,0.247105,-1.9342324884842
