ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
12,2,1,0,320,13.01579375,2.1307937500000094,177.768,193.718,1.8877937500000144,13.213793750000008,-0.8303642977847011
12,2,2,155,292,-31.56063545150502,-33.61463545150502,106.176,120.718,-33.769635451505025,-31.28263545150503,-0.12600833337731146
12,2,3,269,200,-32.42839303482589,-30.315393034825888,121.768,131.718,-32.83739303482588,-30.19639303482589,0.2456207426963175
12,2,4,472,200,-29.054174129353243,-22.826174129353234,132.768,142.718,-29.054174129353243,-22.826174129353234,0.6521909106332572
12,2,5,824,200,-20.879328358208966,-12.694328358208963,143.768,153.718,-21.176328358208963,-12.614328358208951,0.832224315546728
12,2,6,1017,200,-10.809358208955217,-1.7743582089552206,154.768,164.718,-10.809358208955217,-1.6973582089552224,0.8950566948524432
12,2,7,1313,200,0.6439154228855557,9.842915422885568,165.768,175.718,0.4399154228855764,9.842915422885568,0.931257873049103
