ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
242,1,1,0,320,10.019003124999983,-0.4879968749999932,71.003,86.954,-0.49399687499999345,10.694003124999995,-0.8073565117866874
242,1,2,155,300,-15.96884121621622,-18.645841216216212,0,14.954,-18.8278412162162,-15.96884121621622,-0.11494580751179981
242,1,3,269,200,-18.36291,-17.51391000000001,16.004,25.954,-18.63691,-17.51391000000001,0.11467732953499027
242,1,4,472,200,-16.832895000000008,-13.531894999999992,27.004,36.954,-16.99589499999999,-13.437894999999997,0.3801068535281608
242,1,5,824,200,-12.33185499999999,-7.083855,38.004,47.954,-12.33185499999999,-7.083855,0.5202948293928036
242,1,6,1017,200,-5.720789999999994,0.7642099999999914,49.004,58.954,-5.720789999999994,0.7812099999999873,0.6809833641255052
242,1,7,1313,200,2.0543150000000026,8.814315000000022,60.004,69.954,2.0543150000000026,8.930315000000007,0.672069188347119
blank,2,1,0,320,0.6647937500000012,-0.7442062499999906,177.97,193.92,-0.8782062499999768,0.8257937500000025,-0.08940499683245966
blank,2,2,155,299,0.7463645484949666,-0.6146354515050234,106.067,120.97,-0.7326354515050184,0.7463645484949666,-0.08410417956283171
blank,2,3,269,201,0.47460696517413226,-0.3543930348258755,121.971,131.971,-0.5513930348258782,0.565606965174112,-0.09153512007962844
blank,2,4,472,201,0.6418258706467554,-0.5191741293532459,132.97,142.97,-0.5851741293532484,0.6608258706467609,-0.10706188395350515
blank,2,5,824,201,0.6966716417910561,-0.5853283582089546,143.971,153.97,-0.7423283582089653,0.6966716417910561,-0.11344948723849425
blank,2,6,1017,201,0.5856417910447647,-0.6573582089552303,154.971,164.971,-0.6723582089552167,0.6916417910447592,-0.12190537442422152
blank,2,7,1313,201,0.6679154228855566,-0.6230845771144402,165.971,175.97,-0.6760845771144375,0.6909154228855527,-0.12271999076467743
42,3,1,0,320,76.74180625,64.12380625,286.987,302.937,64.12380625,77.18280625,-0.9470924363713643
42,3,2,155,309,29.04923026315791,26.14623026315789,214.538,229.937,26.00923026315789,29.04923026315791,-0.17172154355284322
42,3,3,269,200,27.11808499999998,28.316084999999987,230.987,240.937,26.875084999999984,28.316084999999987,0.12877249789223597
42,3,4,472,200,29.300205000000005,34.20020499999998,241.987,251.937,29.14020499999998,34.30220499999999,0.5625482734310717
42,3,5,824,220,35.96521363636364,45.90921363636363,252.987,263.937,35.85921363636362,45.975213636363634,0.9351275557648149
