ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
241,4,1,0,300,-18.82368333333332,-32.71568333333332,395.902,410.852,-32.814683333333335,-18.607683333333313,-1.0524134638951814
241,4,2,155,320,-44.5163125,-49.57431249999999,322.902,338.851,-49.74531249999998,-44.5163125,-0.2772551490743623
241,4,3,269,200,-48.36821500000002,-49.30621500000001,339.902,349.852,-49.438215000000014,-48.34421500000002,-0.0678194026013815
241,4,4,472,220,-48.029672727272725,-45.61367272727273,350.901,361.852,-48.178672727272726,-45.44367272727274,0.24989808769126173
241,4,5,824,200,-44.095405,-39.414405000000016,362.902,372.851,-44.095405,-39.414405000000016,0.4723614513015816
241,4,6,1017,200,-37.402079999999984,-31.741079999999982,373.901,383.851,-37.52607999999998,-31.521079999999984,0.5962259693904971
241,4,7,1313,200,-28.9067,-22.057699999999983,384.902,394.851,-29.042699999999996,-21.96969999999999,0.709317792873771
