ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
26,4,1,0,300,53.955316666666675,48.59531666666666,395.817,410.767,48.411316666666664,54.554316666666665,-0.5229803113446371
26,4,2,155,320,23.577687500000025,22.891687500000018,322.817,338.767,22.661687500000028,23.875687500000026,-0.06694509439826977
26,4,3,269,200,24.343784999999997,26.341784999999987,339.817,349.767,24.217784999999992,26.438784999999996,0.23715239313677772
26,4,4,472,220,28.016327272727267,32.30232727272727,350.817,361.767,27.982327272727275,32.43732727272726,0.4041012885375122
26,4,5,824,200,34.405595000000005,38.707595,362.817,372.767,34.25959499999999,38.774595000000005,0.4546913545079047
26,4,6,1017,200,40.62192000000002,45.063920000000024,373.817,383.767,40.55092000000002,45.06492,0.4329014329751328
26,4,7,1313,200,47.4393,51.34230000000002,384.817,394.767,47.3913,51.469300000000004,0.39238417790550995
