ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
blank,1,1,0,320,0.1530031249999979,-0.28599687499999504,70.801,86.75,-0.4619968750000112,0.41500312499999836,-0.029288985310325356
blank,1,2,155,296,2.2011587837837965,-0.3348412162162049,0,14.75,-0.4418412162162042,2.2011587837837965,-0.010096984467293384
blank,1,3,269,200,0.13608999999999583,-0.154910000000001,15.8,25.75,-0.29191000000000145,0.2720899999999915,-0.03119473002454261
blank,1,4,472,200,0.2821050000000014,-0.2258950000000084,26.8,36.751,-0.4648950000000127,0.47410500000000866,-0.06498268221466214
blank,1,5,824,200,0.4131450000000143,-0.35585499999999115,37.801,47.75,-0.5368550000000027,0.4801450000000216,-0.07673566230197788
blank,1,6,1017,200,0.38021000000000527,-0.22078999999999382,48.801,58.75,-0.500789999999995,0.5532100000000071,-0.08636355947913166
blank,1,7,1313,200,0.4873150000000237,-0.459684999999979,59.8,69.75,-0.5536849999999731,0.5453150000000164,-0.09058103949665189
