ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
235,1,1,0,320,-38.119996875,-43.51099687500002,70.902,86.852,-43.51099687500002,-37.078996875,-0.4679475558138569
235,1,2,155,298,-64.5478412162162,-65.45084121621622,0,14.852,-65.61784121621622,-64.5478412162162,-0.021145199282701956
235,1,3,269,200,-65.00191000000001,-64.28791000000001,15.901,25.852,-65.21491,-64.09991,0.09786273647151576
235,1,4,472,200,-63.56489500000001,-60.54989499999999,26.902,36.852,-63.738895000000014,-60.50589500000001,0.32102798911603114
235,1,5,824,200,-59.37685499999998,-54.935854999999975,37.902,47.851,-59.51985499999998,-54.923854999999975,0.47885785069953346
235,1,6,1017,200,-53.41779,-47.44979000000001,48.901,58.852,-53.43779000000001,-47.40079,0.6252689866620811
235,1,7,1313,200,-45.73968499999998,-39.44768499999998,59.902,69.851,-45.90268499999999,-39.44768499999998,0.6456362595664815
