ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
248,1,1,0,320,58.323003124999985,47.284003125,70.85,86.801,47.06000312499998,60.23200312499998,-0.9598518213191166
248,1,2,155,297,-18.328841216216205,-15.581841216216219,0,14.801,-18.596841216216205,-15.581841216216219,0.2129762586328384
248,1,3,269,200,-14.963909999999998,-9.485910000000018,15.851,25.801,-14.971910000000008,-9.477910000000008,0.6257139753840323
248,1,4,472,200,-8.236895000000004,1.777105000000006,26.851,36.801,-8.236895000000004,1.777105000000006,1.0399096330460038
248,1,5,824,200,3.665145000000024,16.726145000000002,37.851,47.801,3.6281450000000177,16.726145000000002,1.3573339558867878
248,1,6,1017,200,18.87921,35.14921000000001,48.851,58.801,18.87921,35.358209999999985,1.686774808302583
248,1,7,1313,200,38.167315,55.43631500000001,59.851,69.801,38.156315000000006,55.43631500000001,1.7616512013568533
