ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
233,3,1,0,321,102.06080625000001,89.55480625000001,286.639,302.639,89.55480625000001,103.08080625,-0.9715621611171342
233,3,2,155,302,37.6722302631579,36.3272302631579,214.596,229.639,36.18023026315791,37.6722302631579,-0.06087535017179572
233,3,3,269,201,37.378085,40.278084999999976,230.639,240.639,37.256084999999985,40.278084999999976,0.31835624543742
233,3,4,472,201,41.58320499999999,49.659204999999986,241.639,251.639,41.518204999999995,49.68220499999998,0.851137767308802
233,3,5,824,221,51.70621363636363,64.74721363636363,252.64,263.64,51.70621363636363,64.74721363636363,1.2307875234663617
233,3,6,1017,201,66.96053999999998,81.66853999999998,264.639,274.639,66.96053999999998,81.66853999999998,1.4920192518992907
233,3,7,1313,201,84.06427,99.51127000000002,275.639,285.639,83.89427,99.64026999999999,1.5953310514047698
