ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
3,1,1,0,320,48.445003125,30.662003124999984,70.946,86.896,30.551003124999994,50.059003125000004,-1.60516447053262
3,1,2,155,299,-17.7978412162162,-19.364841216216206,0,14.896,-19.523841216216198,-17.731841216216196,-0.010006747008361374
3,1,3,269,200,-18.857910000000004,-15.299910000000011,15.946,25.896,-19.073910000000012,-15.054910000000007,0.48551695237468795
3,1,4,472,200,-14.036895000000015,-4.706895000000003,26.946,36.897,-14.082895000000008,-4.409895000000006,1.0202098633693177
3,1,5,824,200,-2.4628549999999905,10.55714500000002,37.947,47.896,-2.5508549999999843,10.55714500000002,1.3660834161693116
3,1,6,1017,200,12.59720999999999,27.58921000000001,48.946,58.896,12.59720999999999,27.904210000000006,1.5604147213578006
3,1,7,1313,200,30.405315,45.46831500000002,59.946,69.896,30.292315000000002,45.626315000000005,1.540655624303514
