ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
209,2,1,0,320,21.179793750000016,12.954793750000022,177.919,193.868,12.954793750000022,24.02779375,-1.0480917986958591
209,2,2,155,297,-48.08663545150503,-47.793635451505025,106.062,120.869,-49.72863545150503,-47.793635451505025,0.20052681332429367
209,2,3,269,200,-46.45439303482587,-41.44039303482589,121.918,131.868,-46.49039303482587,-41.44039303482589,0.5246555527554919
209,2,4,472,200,-39.66117412935324,-31.23817412935324,132.918,142.869,-39.830174129353225,-31.205174129353225,0.9384732986265296
209,2,5,824,200,-28.915328358208967,-17.883328358208956,143.918,153.868,-29.12232835820896,-17.797328358208972,1.228712167319383
209,2,6,1017,200,-15.092358208955233,-1.9293582089552217,154.918,164.868,-15.253358208955234,-1.7473582089552337,1.4165613075947499
209,2,7,1313,200,1.2119154228855678,16.189915422885576,165.919,175.869,1.0839154228855534,16.240915422885564,1.612716573964411
