ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
236,2,1,0,320,68.72479375000003,58.84079375000002,177.656,193.606,58.75979375,68.96679375,-0.7055951038558017
236,2,2,155,289,6.69736454849496,8.020364548494967,106.2,120.606,5.883364548494967,8.198364548494965,0.154598570839057
236,2,3,269,200,9.488606965174114,14.582606965174136,121.656,131.606,9.458606965174113,14.582606965174136,0.5196714653934171
236,2,4,472,200,16.208825870646763,24.339825870646763,132.656,142.606,16.208825870646763,24.339825870646763,0.851737880793459
236,2,5,824,200,26.43967164179105,36.09467164179105,143.656,153.606,26.19567164179105,36.38967164179104,1.0071743621775227
236,2,6,1017,200,38.442641791044764,49.77264179104478,154.656,164.606,38.442641791044764,49.873641791044776,1.1143305652504056
236,2,7,1313,200,52.55491542288556,64.56691542288556,165.656,175.606,52.19691542288555,64.76791542288555,1.2505405042818065
