ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
42,3,1,0,320,76.74180625,64.12380625,286.987,302.937,64.12380625,77.18280625,-0.9470924363713643
42,3,2,155,309,29.04923026315791,26.14623026315789,214.538,229.937,26.00923026315789,29.04923026315791,-0.17172154355284322
42,3,3,269,200,27.11808499999998,28.316084999999987,230.987,240.937,26.875084999999984,28.316084999999987,0.12877249789223597
42,3,4,472,200,29.300205000000005,34.20020499999998,241.987,251.937,29.14020499999998,34.30220499999999,0.5625482734310717
42,3,5,824,220,35.96521363636364,45.90921363636363,252.987,263.937,35.85921363636362,45.975213636363634,0.9351275557648149
42,3,6,1017,200,47.88853999999998,59.16353999999998,264.987,274.937,47.88853999999998,59.229539999999986,1.1633480596285153
42,3,7,1313,200,61.37127000000001,74.23427000000001,275.988,285.937,61.31326999999999,74.56827000000001,1.3242021817404284
