ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
20,3,1,0,321,45.868806250000006,36.19180625000001,286.885,302.885,36.19180625000001,47.45280625000001,-0.967543088210666
20,3,2,155,308,-5.203769736842105,-4.81976973684209,214.533,229.885,-6.265769736842088,-4.81976973684209,0.09489381470776607
20,3,3,269,201,-3.281914999999998,0.6680849999999907,230.885,240.885,-3.582915000000014,0.6680849999999907,0.4022393855606782
20,3,4,472,201,2.085205000000002,8.700204999999983,241.885,251.885,1.8622049999999888,8.924205,0.7224344245487463
20,3,5,824,221,10.434213636363637,20.15121363636362,252.885,263.885,10.36321363636364,20.19821363636362,0.9048531762896395
20,3,6,1017,201,22.17053999999999,31.792539999999974,264.885,274.885,21.840539999999976,31.792539999999974,1.048661209757987
20,3,7,1313,201,33.58027000000001,43.79626999999999,275.885,285.885,33.501270000000005,43.79626999999999,1.0597086500924613
