ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
234,3,1,0,320,70.95780625,62.72680625000001,286.732,302.682,62.63480625,72.48680625,-0.8105405759162317
234,3,2,155,303,37.12023026315791,33.8442302631579,214.582,229.682,33.8442302631579,37.36023026315789,-0.20565998247734243
234,3,3,269,200,35.01308499999999,34.79308499999999,230.732,240.682,34.032084999999995,35.01308499999999,0.054250138668399395
234,3,4,472,200,35.70120499999999,39.66420499999998,241.732,251.682,35.603205,39.68320499999999,0.4475284599068438
234,3,5,824,220,40.90121363636362,48.93821363636363,252.732,263.682,40.81621363636364,48.93821363636363,0.5776428229746541
234,3,6,1017,200,50.62554,58.439539999999994,264.732,274.682,50.49653999999998,58.45053999999999,0.843523301126348
234,3,7,1313,200,59.987269999999995,69.08627000000001,275.732,285.682,59.987269999999995,69.08627000000001,0.9231200740004908
