ColonyID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
4,4,1,0,300,44.203316666666666,38.677316666666684,395.672,410.623,38.64431666666667,44.66431666666668,-0.5139641840326894
4,4,2,155,319,-0.766312499999998,1.254687500000017,322.715,338.623,-1.04231249999998,1.5866875000000107,0.16096850930108061
4,4,3,269,200,3.0747849999999914,6.845784999999978,339.673,349.623,2.892784999999975,6.930784999999986,0.37412111952852756
4,4,4,472,220,8.374327272727271,15.136327272727272,350.673,361.622,8.236327272727266,15.269327272727281,0.6208755842453155
4,4,5,824,200,17.175594999999987,23.61459500000001,362.673,372.623,17.154595,23.811594999999983,0.6797070275745081
4,4,6,1017,200,25.884920000000022,31.08292,373.673,383.623,25.51292000000001,31.40992,0.48326290214401263
4,4,7,1313,200,32.59130000000002,41.44730000000001,384.672,394.623,32.59130000000002,41.56530000000001,0.847603114067634
