"","Timepoint","ColonyID","Species","Phenotype","Tissue_Biomass_mg_cm2"
"75","September_2023","209","Montipora capitata","Susceptible",6.87022423050763
"76","September_2023","210","Montipora capitata","Resistant",3.40239676177542
"77","September_2023","211","Montipora capitata","Susceptible",13.4157004669268
"78","September_2023","212","Montipora capitata","Resistant",12.3033097189199
"79","September_2023","214","Montipora capitata","Resistant",7.76520367505598
"80","September_2023","219","Montipora capitata","Susceptible",9.79178137836488
"81","September_2023","220","Montipora capitata","Resistant",10.1051183824725
"82","September_2023","221","Montipora capitata","Susceptible",12.1881910314911
"83","September_2023","225","Porites compressa","Susceptible",5.21097276323882
"84","September_2023","226","Porites compressa","Resistant",6.88627615628042
"85","September_2023","233","Porites compressa","Susceptible",2.60979297067965
"86","September_2023","234","Porites compressa","Resistant",12.9420061250931
"87","September_2023","235","Porites compressa","Susceptible",13.1577062271782
"88","September_2023","236","Porites compressa","Resistant",9.44050671008235
"89","September_2023","237","Porites compressa","Susceptible",11.080173664992
"90","September_2023","238","Porites compressa","Resistant",12.9268692758241
"91","September_2023","239","Porites compressa","Susceptible",11.7392174517573
"92","September_2023","240","Porites compressa","Resistant",8.92047879808679
"93","September_2023","241","Porites compressa","Susceptible",10.5261649817423
"94","September_2023","242","Porites compressa","Resistant",0.99303443223974
"95","September_2023","243","Porites compressa","Susceptible",19.2551798446507
"96","September_2023","244","Porites compressa","Resistant",6.2179877529278
"97","September_2023","247","Porites compressa","Susceptible",12.0528606661173
"98","September_2023","248","Porites compressa","Resistant",5.08510385591422
"99","January_2024","1","Montipora capitata","Susceptible",2.46311690900684
"100","January_2024","2","Montipora capitata","Resistant",2.31397085521442
"101","January_2024","3","Montipora capitata","Susceptible",3.49798596524418
"102","January_2024","4","Montipora capitata","Resistant",2.24840046163845
"103","January_2024","12","Montipora capitata","Resistant",1.31776270338337
"104","January_2024","19","Montipora capitata","Susceptible",2.53310720875081
"105","January_2024","20","Montipora capitata","Resistant",2.20233343500515
"106","January_2024","26","Porites compressa","Resistant",5.02912039225184
"107","January_2024","27","Porites compressa","Susceptible",1.21788220773437
"108","January_2024","28","Porites compressa","Resistant",3.64510937785053
"109","January_2024","29","Porites compressa","Susceptible",4.08291899058061
"110","January_2024","41","Porites compressa","Susceptible",2.56940151578922
"111","January_2024","42","Porites compressa","Resistant",3.91099461743296
"112","January_2024","43","Porites compressa","Susceptible",3.48378622023668
"113","January_2024","44","Porites compressa","Resistant",3.83657120126373
"114","January_2024","45","Porites compressa","Susceptible",6.94858423010197
"115","January_2024","46","Porites compressa","Resistant",3.45867373765302
"116","January_2024","201","Montipora capitata","Susceptible",2.43883709020689
"117","January_2024","202","Montipora capitata","Resistant",1.35500202140064
"118","January_2024","203","Montipora capitata","Susceptible",3.5334646339013
"119","January_2024","204","Montipora capitata","Resistant",1.62208375550396
"120","January_2024","205","Montipora capitata","Susceptible",3.02483635253426
"121","January_2024","206","Montipora capitata","Resistant",4.12745552152117
"122","January_2024","209","Montipora capitata","Susceptible",2.30820262558322
"123","January_2024","210","Montipora capitata","Resistant",1.20349700687686
"124","January_2024","211","Montipora capitata","Susceptible",3.05961399218862
"125","January_2024","212","Montipora capitata","Resistant",2.87636396798717
"126","January_2024","213","Montipora capitata","Susceptible",1.3147181775211
"127","January_2024","214","Montipora capitata","Resistant",4.85610267158676
"128","January_2024","219","Montipora capitata","Susceptible",1.63364689541815
"129","January_2024","220","Montipora capitata","Resistant",5.2436472304646
"130","January_2024","221","Montipora capitata","Susceptible",2.36860281668149
"131","January_2024","225","Porites compressa","Susceptible",1.80893244980417
"132","January_2024","226","Porites compressa","Resistant",2.77729181136035
"133","January_2024","233","Porites compressa","Susceptible",3.46928316629619
"134","January_2024","234","Porites compressa","Resistant",4.27594068889435
"135","January_2024","235","Porites compressa","Susceptible",1.92953183112142
"136","January_2024","236","Porites compressa","Resistant",3.31056482043029
"137","January_2024","237","Porites compressa","Susceptible",5.84252749834665
"138","January_2024","238","Porites compressa","Resistant",8.42794835942988
"139","January_2024","239","Porites compressa","Susceptible",6.38704680057911
"140","January_2024","240","Porites compressa","Resistant",6.99840700599475
"141","January_2024","241","Porites compressa","Susceptible",3.10809394718367
"142","January_2024","242","Porites compressa","Resistant",2.19464103739773
"143","January_2024","243","Porites compressa","Susceptible",3.40037600680245
"144","January_2024","244","Porites compressa","Resistant",2.93188602910651
"145","January_2024","247","Porites compressa","Susceptible",2.13188865486632
"146","January_2024","248","Porites compressa","Resistant",4.27614277503675
"147","May_2024","1","Montipora capitata","Susceptible",5.61599843786043
"148","May_2024","2","Montipora capitata","Resistant",2.0598730190182
"149","May_2024","3","Montipora capitata","Susceptible",5.04761676732329
"150","May_2024","4","Montipora capitata","Resistant",5.2635252198933
"151","May_2024","12","Montipora capitata","Resistant",5.02162789380738
"152","May_2024","19","Montipora capitata","Susceptible",0.967400542053382
"153","May_2024","20","Montipora capitata","Resistant",4.95056712172555
"154","May_2024","26","Porites compressa","Resistant",7.74161955623336
"155","May_2024","27","Porites compressa","Susceptible",6.78463157208659
"156","May_2024","28","Porites compressa","Resistant",4.22009882614223
"157","May_2024","29","Porites compressa","Susceptible",3.79662870171966
"158","May_2024","41","Porites compressa","Susceptible",7.40368215112649
"159","May_2024","42","Porites compressa","Resistant",6.11480707654142
"160","May_2024","43","Porites compressa","Susceptible",3.75440785217084
"161","May_2024","44","Porites compressa","Resistant",4.57296460451982
"162","May_2024","201","Montipora capitata","Susceptible",2.82261053385554
"163","May_2024","202","Montipora capitata","Resistant",3.82490338861256
"164","May_2024","203","Montipora capitata","Susceptible",3.24657291073811
"165","May_2024","204","Montipora capitata","Resistant",6.63811864762446
"166","May_2024","205","Montipora capitata","Susceptible",2.58738962772429
"167","May_2024","206","Montipora capitata","Resistant",2.64338653635076
"168","May_2024","209","Montipora capitata","Susceptible",3.41389450776897
"169","May_2024","210","Montipora capitata","Resistant",1.99660589623926
"170","May_2024","211","Montipora capitata","Susceptible",4.58989172195996
"171","May_2024","213","Montipora capitata","Susceptible",3.19476908870011
"172","May_2024","214","Montipora capitata","Resistant",4.41744627821632
"173","May_2024","219","Montipora capitata","Susceptible",4.59303779217332
"174","May_2024","220","Montipora capitata","Resistant",1.99950012719266
"175","May_2024","221","Montipora capitata","Susceptible",2.96107325542287
"176","May_2024","225","Porites compressa","Susceptible",6.17575437972004
"177","May_2024","233","Porites compressa","Susceptible",4.63181578479017
"178","May_2024","234","Porites compressa","Resistant",7.77898401132185
"179","May_2024","235","Porites compressa","Susceptible",6.87523932940261
"180","May_2024","236","Porites compressa","Resistant",2.96280565651763
"181","May_2024","237","Porites compressa","Susceptible",4.74695912458491
"182","May_2024","238","Porites compressa","Resistant",4.41687632927351
"183","May_2024","239","Porites compressa","Susceptible",7.93522856197691
"184","May_2024","240","Porites compressa","Resistant",6.17112314283998
"185","May_2024","241","Porites compressa","Susceptible",4.7728522248294
"186","May_2024","242","Porites compressa","Resistant",4.06907359464841
"187","May_2024","243","Porites compressa","Susceptible",5.98963190609063
"188","May_2024","244","Porites compressa","Resistant",4.53242972033153
"189","May_2024","247","Porites compressa","Susceptible",6.58538043968603
"190","May_2024","248","Porites compressa","Resistant",4.89053159094453
"191","October_2024","1","Montipora capitata","Susceptible",2.39830752961099
"192","October_2024","2","Montipora capitata","Resistant",3.13986462955182
"193","October_2024","3","Montipora capitata","Susceptible",2.07562202846408
"194","October_2024","4","Montipora capitata","Resistant",2.52635071474319
"195","October_2024","12","Montipora capitata","Resistant",1.88300273690912
"196","October_2024","19","Montipora capitata","Susceptible",3.90317440836862
"197","October_2024","20","Montipora capitata","Resistant",2.42098656062379
"198","October_2024","26","Porites compressa","Resistant",2.85311287651522
"199","October_2024","27","Porites compressa","Susceptible",4.52370931682932
"200","October_2024","28","Porites compressa","Resistant",3.81477859990256
"201","October_2024","29","Porites compressa","Susceptible",4.252812770531
"202","October_2024","41","Porites compressa","Susceptible",3.68712078901235
"203","October_2024","42","Porites compressa","Resistant",5.02738004488869
"204","October_2024","43","Porites compressa","Susceptible",2.90106888142715
"205","October_2024","44","Porites compressa","Resistant",1.46329276923364
"206","October_2024","201","Montipora capitata","Susceptible",3.32408693197756
"207","October_2024","202","Montipora capitata","Resistant",4.28147663808665
"208","October_2024","203","Montipora capitata","Susceptible",4.57313478033879
"209","October_2024","204","Montipora capitata","Resistant",4.2761674553645
"210","October_2024","205","Montipora capitata","Susceptible",3.56715904914032
"211","October_2024","206","Montipora capitata","Resistant",2.90848428044252
"212","October_2024","209","Montipora capitata","Susceptible",4.0051377609976
"213","October_2024","210","Montipora capitata","Resistant",1.27993665184827
"214","October_2024","211","Montipora capitata","Susceptible",2.21073040438983
"215","October_2024","213","Montipora capitata","Susceptible",3.9909482273725
"216","October_2024","214","Montipora capitata","Resistant",3.97807601936924
"217","October_2024","219","Montipora capitata","Susceptible",3.11371622623007
"218","October_2024","220","Montipora capitata","Resistant",4.39153770180887
"219","October_2024","221","Montipora capitata","Susceptible",2.1527797249187
"220","October_2024","225","Porites compressa","Susceptible",5.64126321232335
"221","October_2024","226","Porites compressa","Resistant",2.77895912569917
"222","October_2024","233","Porites compressa","Susceptible",5.00445014730627
"223","October_2024","234","Porites compressa","Resistant",6.05897723030436
"224","October_2024","235","Porites compressa","Susceptible",5.47865757728839
"225","October_2024","236","Porites compressa","Resistant",3.90935520711494
"226","October_2024","237","Porites compressa","Susceptible",3.91245295292076
"227","October_2024","238","Porites compressa","Resistant",2.70585868014036
"228","October_2024","239","Porites compressa","Susceptible",3.82667579674326
"229","October_2024","240","Porites compressa","Resistant",4.78963562661467
"230","October_2024","241","Porites compressa","Susceptible",4.17990740875007
"231","October_2024","242","Porites compressa","Resistant",2.22900090359965
"232","October_2024","243","Porites compressa","Susceptible",2.73774085200238
"233","October_2024","244","Porites compressa","Resistant",1.91822673915559
"234","October_2024","247","Porites compressa","Susceptible",2.6186770758877
"235","October_2024","248","Porites compressa","Resistant",3.54075562426722
"236","January_2025","1","Montipora capitata","Susceptible",3.56434984774346
"237","January_2025","2","Montipora capitata","Resistant",2.48980444146226
"238","January_2025","3","Montipora capitata","Susceptible",4.34831847343604
"239","January_2025","4","Montipora capitata","Resistant",0.723286548976154
"240","January_2025","12","Montipora capitata","Resistant",3.95218620368115
"241","January_2025","19","Montipora capitata","Susceptible",3.6688842459251
"242","January_2025","20","Montipora capitata","Resistant",3.43957898055469
"243","January_2025","26","Porites compressa","Resistant",2.58056903083222
"244","January_2025","27","Porites compressa","Susceptible",2.96636565129848
"245","January_2025","28","Porites compressa","Resistant",3.18036433274466
