"","ColonyID","Timepoint","Initial_mass_g","Dry_mass_g","Burnt_mass_g","X","Species","Phenotype","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Notes","dry_mass_g_mL","burnt_mass_g_mL","dry_biomass_g","dw_mg_cm2","ash_biomass_g","afdw_mg_cm2"
"1","1","April_2023",0.3947,0.4095,0.4081,1,"Montipora capitata","Susceptible",5.063,5.827,0.764,22.9137036334046,"",20.475,20.405,20.0803,876.344580573437,0.0699999999999967,3.05494044611573
"2","2","April_2023",0.3961,0.4099,0.4091,2,"Montipora capitata","Resistant",3.095,3.401,0.306,9.17747815683483,"",20.495,20.455,20.0989,2190.02428080219,0.0399999999999991,4.35849579987391
"3","3","April_2023",0.4003,0.4136,0.4131,3,"Montipora capitata","Susceptible",1.224,1.38,0.156,4.67871435446482,"",20.68,20.655,20.2797,4334.45995279609,0.0249999999999986,5.34334821619137
"4","4","April_2023",0.4024,0.4159,0.4151,4,"Montipora capitata","Resistant",2.478,2.802,0.324,9.71732981311924,"",20.795,20.755,20.3926,2098.58061753428,0.0399999999999956,4.11635714432499
"5","11","April_2023",0.4016,0.415,0.414,5,"Montipora capitata","Susceptible",1.445,1.666,0.221,6.62817866882516,"",20.75,20.7,20.3484,3069.98362849002,0.0500000000000007,7.54355042285895
"6","12","April_2023",0.4015,0.4145,0.4138,6,"Montipora capitata","Resistant",1.365,1.606,0.241,7.2280138424745,"",20.725,20.69,20.3235,2811.76827312803,0.0349999999999966,4.84227074861472
"7","15","April_2023",0.4002,0.4143,0.413,7,"Montipora capitata","Susceptible",2.141,2.375,0.234,7.01807153169723,"",20.715,20.65,20.3148,2894.64134246109,0.0650000000000013,9.26180357473243
"8","16","April_2023",0.4036,0.4179,0.4168,8,"Montipora capitata","Resistant",3.246,3.672,0.426,12.7764891987309,"",20.895,20.84,20.4914,1603.83652201071,0.0549999999999997,4.30478194318537
"9","19","April_2023",0.4005,0.4145,0.4134,9,"Montipora capitata","Susceptible",2.594,3.308,0.714,21.4141156992813,"",20.725,20.67,20.3245,949.116941620061,0.0549999999999997,2.56839931064002
"10","20","April_2023",0.3974,0.4116,0.4104,10,"Montipora capitata","Resistant",2.992,3.368,0.376,11.2769012646075,"",20.58,20.52,20.1826,1789.7292462197,0.0600000000000023,5.32061056420809
"11","26","April_2023",0.4039,0.4182,0.4166,11,"Porites compressa","Resistant",4.209,4.498,0.289000000000001,8.66761825923292,"",20.91,20.83,20.5061,2365.82869557695,0.0799999999999983,9.22975581149766
"12","27","April_2023",0.3977,0.4124,0.4111,12,"Porites compressa","Susceptible",3.963,4.394,0.431,12.9264479921432,"",20.62,20.555,20.2223,1564.41274604526,0.0650000000000013,5.02845020066679
"13","28","April_2023",0.4065,0.4208,0.4192,13,"Porites compressa","Resistant",4.039,4.418,0.379,11.3668765406549,"",21.04,20.96,20.6335,1815.23041322759,0.0799999999999983,7.03799321773835
"14","29","April_2023",0.3976,0.4122,0.4105,14,"Porites compressa","Susceptible",6.776,7.175,0.399,11.9667117143043,"",20.61,20.525,20.2124,1689.05213750903,0.0850000000000009,7.10303732799018
"15","41","April_2023",0.4028,0.4168,0.4156,15,"Porites compressa","Susceptible",3.722,3.986,0.264,7.91782429217124,"",20.84,20.78,20.4372,2581.1636184207,0.0599999999999987,7.57783928841712
"16","42","April_2023",0.3946,0.4089,0.4076,16,"Porites compressa","Resistant",4.502,4.63,0.128,3.83894511135575,"",20.445,20.38,20.0504,5222.89311735407,0.0649999999999977,16.9317346600568
"17","43","April_2023",0.3961,0.4107,0.4091,17,"Porites compressa","Susceptible",5.168,5.596,0.428,12.8364727160958,"",20.535,20.455,20.1389,1568.88114401923,0.0799999999999983,6.23224165776361
"18","44","April_2023",0.405,0.4187,0.4178,18,"Porites compressa","Resistant",2.731,2.912,0.181,5.42850832152649,"",20.935,20.89,20.53,3781.8860696205,0.0450000000000017,8.28957005031315
"19","45","April_2023",0.4008,0.4155,0.414,19,"Porites compressa","Susceptible",6.792,7.221,0.429,12.8664644747783,"",20.775,20.7,20.3742,1583.51193056483,0.0749999999999993,5.8291071449363
"20","46","April_2023",0.4014,0.4169,0.4153,20,"Porites compressa","Resistant",7.104,7.386,0.282,8.45767594845564,"",20.845,20.765,20.4436,2417.16520289867,0.0799999999999983,9.45886322525826
"21","201","April_2023",0.4034,0.4181,0.417,21,"Montipora capitata","Susceptible",2.863,3.195,0.332,9.95726388257897,"",20.905,20.85,20.5016,2058.95919218021,0.0550000000000033,5.52360574637679
"22","202","April_2023",0.3953,0.4094,0.4088,22,"Montipora capitata","Resistant",2.164,2.434,0.27,8.09777484426604,"",20.47,20.44,20.0747,2479.0390429557,0.0299999999999976,3.7047214298926
"23","203","April_2023",0.3992,0.4143,0.4129,23,"Montipora capitata","Susceptible",2.641,3.017,0.376,11.2769012646075,"",20.715,20.645,20.3158,1801.54100167224,0.0700000000000003,6.2073789915759
"24","204","April_2023",0.4008,0.4154,0.4143,24,"Montipora capitata","Resistant",2,2.219,0.219,6.56819515146022,"",20.77,20.715,20.3692,3101.18678423731,0.0549999999999997,8.37368542373049
"25","206","April_2023",0.4002,0.4151,0.414,25,"Montipora capitata","Resistant",2.73,3.111,0.381,11.4268600580199,"",20.755,20.7,20.3548,1781.31174239016,0.0550000000000033,4.81322075537293
"26","207","April_2023",0.3976,0.412,0.4112,26,"Montipora capitata","Susceptible",1.956,2.252,0.296,8.87756057001017,"",20.6,20.56,20.2024,2275.67019573451,0.0399999999999956,4.50574227959897
"27","208","April_2023",0.4014,0.416,0.4152,27,"Montipora capitata","Resistant",1.915,2.285,0.37,11.0969507125127,"",20.8,20.76,20.3986,1838.21668929276,0.0399999999999991,3.6045938236795
