"","ColonyID","Pmax","alpha","Rd","Ik","Pgross","X.x","Species.x","Phenotype.x","Timepoint.x","Without_wax_weight_g.x","With_wax_weight_g.x","delta.mass.g.x","surface.area.cm2.x","Notes.x","X.y","Species.y","Phenotype.y","Timepoint.y","Without_wax_weight_g.y","With_wax_weight_g.y","delta.mass.g.y","surface.area.cm2.y","Notes.y"
"1","1",1.06130402260194,0.00315215999284644,-0.409613760196077,336.691038846532,0.651690262405866,53,"Montipora capitata","Susceptible","September_2023",2.93,3.448,0.518,12.302676257176,"",53,"Montipora capitata","Susceptible","September_2023",2.93,3.448,0.518,12.302676257176,""
"2","19",1.92171874539522,0.00432336862552014,-0.739187421066339,444.495695798788,1.18253132432888,57,"Montipora capitata","Susceptible","September_2023",2.762,3.115,0.353,8.38387011348096,"",57,"Montipora capitata","Susceptible","September_2023",2.762,3.115,0.353,8.38387011348096,""
"3","2",1.72107183269977,0.00685108966669223,-0.592148139505789,251.211400876428,1.12892369319399,54,"Montipora capitata","Resistant","September_2023",2.856,3.267,0.411,9.76138984884044,"",54,"Montipora capitata","Resistant","September_2023",2.856,3.267,0.411,9.76138984884044,""
"4","20",2.87253977055977,0.0111185197823848,-0.87413360635136,258.356312421261,1.99840616420841,58,"Montipora capitata","Resistant","September_2023",2.054,2.405,0.351,8.33636943295132,"",58,"Montipora capitata","Resistant","September_2023",2.054,2.405,0.351,8.33636943295132,""
"5","201",1.40155203405351,0.00474219092009697,-0.507246222532585,295.549474424123,0.894305811520921,69,"Montipora capitata","Susceptible","September_2023",2.65,3.025,0.375,8.90637759930697,"",69,"Montipora capitata","Susceptible","September_2023",2.65,3.025,0.375,8.90637759930697,""
"6","202",1.46716458072808,0.00462723284276363,-0.548102972228799,317.071699346733,0.91906160849928,70,"Montipora capitata","Resistant","September_2023",3.236,3.66,0.424,10.0701442722831,"",70,"Montipora capitata","Resistant","September_2023",3.236,3.66,0.424,10.0701442722831,""
"7","203",2.03399800039693,0.00608964651773452,-0.682443200126046,334.00920635926,1.35155480027089,71,"Montipora capitata","Susceptible","September_2023",3.481,3.945,0.464,11.0201578828758,"",71,"Montipora capitata","Susceptible","September_2023",3.481,3.945,0.464,11.0201578828758,""
"8","204",3.11653435207515,0.00587894893442952,-0.757181663331256,530.117608918739,2.35935268874389,72,"Montipora capitata","Resistant","September_2023",2.606,2.988,0.382,9.0726299811607,"",72,"Montipora capitata","Resistant","September_2023",2.606,2.988,0.382,9.0726299811607,""
"9","205",2.06382358243544,0.00471602605968077,-0.597367650853063,437.619206577315,1.46645593158238,73,"Montipora capitata","Susceptible","September_2023",1.549,1.82,0.271,6.43634221176584,"",73,"Montipora capitata","Susceptible","September_2023",1.549,1.82,0.271,6.43634221176584,""
"10","206",2.18220122199286,0.00649147034436805,-0.725596676260137,336.164398237777,1.45660454573272,74,"Montipora capitata","Resistant","September_2023",1.029,1.231,0.202,4.79756873349336,"",74,"Montipora capitata","Resistant","September_2023",1.029,1.231,0.202,4.79756873349336,""
"11","209",1.62756274716986,0.00434195053740798,-0.370139372279861,374.845989871978,1.25742337489,75,"Montipora capitata","Susceptible","September_2023",2.529,2.958,0.429,10.1888959736072,"",75,"Montipora capitata","Susceptible","September_2023",2.529,2.958,0.429,10.1888959736072,""
"12","210",2.14969341297817,0.00976828100791122,-0.796684046315092,220.068752243835,1.35300936666308,76,"Montipora capitata","Resistant","September_2023",3.954,4.449,0.495,11.7564184310852,"",76,"Montipora capitata","Resistant","September_2023",3.954,4.449,0.495,11.7564184310852,""
"13","211",1.6539275625194,0.00522105913114503,-0.428027129155198,316.780086372376,1.22590043336421,77,"Montipora capitata","Susceptible","September_2023",1.251,1.455,0.204,4.84506941402299,"",77,"Montipora capitata","Susceptible","September_2023",1.251,1.455,0.204,4.84506941402299,""
"14","212",2.09988555432178,0.00817943875664215,-0.872317036540855,256.727339955514,1.22756851778092,78,"Montipora capitata","Resistant","September_2023",1.102,1.256,0.154,3.65755240078206,"",78,"Montipora capitata","Resistant","September_2023",1.102,1.256,0.154,3.65755240078206,""
