"","Date","ColonyID","Timepoint","Phenotype","Species","Dilution","mean_A235","mean_A280","mean_A310","mean_A320","mean_A330","mean_A334","prot.mg.ml","mycro.mg.ml","paly.mg.ml","aster.mg.ml","shin.mg.ml","X","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Notes","prot.mg.cm2","mycro.mg.cm2","paly.mg.cm2","aster.mg.cm2","shin.mg.cm2"
"1","3/18/24","20","September_2023","Resistant","Montipora capitata",5,0.691333333333333,0.318,0.301666666666667,0.331,0.274333333333333,0.224,0.148738379814077,0.948637316561845,1.04088050314465,0.862683438155136,0.70440251572327,58,2.054,2.405,0.351,8.33636943295132,"",4.46052628216535,28.4487547064598,31.2150424569222,25.871077484438,21.1243791853491
"2","3/18/24","205","September_2023","Susceptible","Montipora capitata",5,0.595666666666667,0.255333333333333,0.259,0.281333333333333,0.238666666666667,0.200333333333333,0.135590969455511,1.01436031331593,1.10182767624021,0.934725848563969,0.784595300261097,73,1.549,1.82,0.271,6.43634221176584,"",5.26661592074947,39.3997195900198,42.7971214079494,36.3065627110092,30.475201381727
"3","3/18/24","219","January_2024","Susceptible","Montipora capitata",5,0.926666666666667,0.343,0.356666666666667,0.396,0.332666666666667,0.272333333333333,0.232536520584329,1.03984450923226,1.15451895043732,0.969873663751215,0.793974732750243,128,3.506,4.506,1,39.7882799412194,"Dropped in wax",1.46108678816893,6.53361059317255,7.25413961185887,6.09396576821141,4.98874752768409
"4","3/18/24","220","January_2024","Resistant","Montipora capitata",5,0.861,0.404333333333333,0.502,0.576666666666667,0.470333333333333,0.369666666666667,0.181938911022576,1.24154987633965,1.42621599340478,1.16323165704864,0.914262159934048,129,3.3861,3.9373,0.5512,21.9312999036001,"",2.07396405847232,14.1527164577218,16.2577685736114,13.2599488192865,10.4218874844711
"5","3/18/24","237","January_2024","Susceptible","Porites compressa",9,0.830666666666667,0.482,0.378,0.397,0.376666666666667,0.36,0.138911022576361,0.784232365145228,0.823651452282158,0.781466113416321,0.746887966804979,137,5.4604,5.9551,0.4947,19.6832620869212,"",3.17579270566631,17.9291706200389,18.8303723178715,17.8659283956296,17.0754005905132
"6","3/18/24","248","September_2023","Resistant","Porites compressa",5,0.523666666666667,0.32,0.211666666666667,0.221666666666667,0.220333333333333,0.214,0.0811420982735724,0.661458333333333,0.692708333333333,0.688541666666667,0.66875,98,2.076,2.283,0.207,4.91632043481744,"",4.12615996807913,33.6358432135992,35.2249381685724,35.0130588412426,34.0066320364263
"7","3/18/24","3","September_2023","Susceptible","Montipora capitata",5,0.818333333333333,0.304333333333333,0.239666666666667,0.256,0.221,0.189666666666667,0.204780876494024,0.787513691128149,0.84118291347207,0.726177437020811,0.623220153340635,55,2.226,2.609,0.383,9.09638032142552,"",5.62808692188488,21.6436006219212,23.1186165196599,19.9578681673627,17.1282458329251
"8","3/18/24","4","September_2023","Resistant","Montipora capitata",5,0.786333333333333,0.319,0.280333333333333,0.301333333333333,0.257333333333333,0.217666666666667,0.186188579017264,0.878787878787879,0.944618599791014,0.806687565308255,0.682340647857889,56,3.976,4.366,0.39,9.26263270327924,"",5.02526077038951,23.7186312719915,25.4954134005711,21.7726317978328,18.4164877771824
"9","3/18/24","42","September_2023","Resistant","Porites compressa",5,0.504333333333333,0.330333333333333,0.257666666666667,0.280333333333333,0.274333333333333,0.265,0.0693227091633466,0.780020181634712,0.848637739656912,0.830474268415742,0.802219979818365,64,1.548,1.707,0.159,3.77630410210615,"",4.58932247569015,51.6391265470168,56.1817663985008,54.9793029084021,53.1088041460263
"10","3/18/24","46","January_2024","Resistant","Porites compressa",9,0.750666666666667,0.433333333333333,0.332333333333333,0.355333333333333,0.346333333333333,0.334666666666667,0.126427622841965,0.766923076923077,0.82,0.799230769230769,0.772307692307692,115,8.4395,9.2025,0.763,30.3584575951504,"",1.8740224235889,11.3680144498024,12.1547677066092,11.8469077365544,11.4478299975944
"11","3/19/24","201","January_2024","Susceptible","Montipora capitata",5,1.00833333333333,0.389,0.393,0.436,0.366,0.301333333333333,0.246746347941567,1.01028277634961,1.12082262210797,0.940874035989717,0.774635818337618,116,6.5051,7.278,0.7729,30.7523615665685,"",2.00591381744329,8.21305035519543,9.11167927446617,7.64879498728124,6.29736855054849
"12","3/19/24","206","January_2024","Resistant","Montipora capitata",5,1.01733333333333,0.481,0.393666666666667,0.427,0.361333333333333,0.304,0.213678618857902,0.818433818433818,0.887733887733888,0.751212751212751,0.632016632016632,121,1.96,2.3558,0.3958,15.7482012007346,"",3.3921115201388,12.9924968572862,14.0926236021876,11.9253739147318,10.0331559135013
"13","3/19/24","210","September_2023","Resistant","Montipora capitata",5,0.794666666666667,0.345333333333333,0.267,0.282333333333333,0.234,0.195,0.179017264276228,0.773166023166023,0.817567567567568,0.677606177606178,0.564671814671815,76,3.954,4.449,0.495,11.7564184310852,"",3.80679850172073,16.4413598345924,17.3855577776526,14.4092816527888,12.0077347106574
"14","3/19/24","221","September_2023","Susceptible","Montipora capitata",5,0.924666666666667,0.343333333333333,0.242666666666667,0.25,0.222,0.198,0.231606905710491,0.706796116504854,0.728155339805825,0.646601941747573,0.576699029126214,82,1.688,1.878,0.19,4.51256465031553,"",12.8312236864184,39.1571185830785,40.3404381006991,35.8223090334208,31.9496269757537
"15","3/19/24","225","January_2024","Susceptible","Porites compressa",9,0.766666666666667,0.429666666666667,0.335333333333333,0.356333333333333,0.341666666666667,0.328333333333333,0.134262948207171,0.78044996121024,0.829325058184639,0.795190069821567,0.764158262218774,131,8.5311,9.4342,0.9031,35.9327956149152,"",1.68142571874225,9.7738702634879,10.3859516020562,9.95846622273867,9.5698431506318
"16","3/19/24","226","January_2024","Resistant","Porites compressa",5,0.920666666666667,0.618666666666667,0.376333333333333,0.399333333333333,0.391666666666667,0.379333333333333,0.120318725099602,0.608297413793103,0.645474137931034,0.633081896551724,0.613146551724138,132,9.6992,10.5589,0.8597,34.2059842654663,"",0.879368973611681,4.4458405952612,4.71755273084403,4.62698201898309,4.48128130859809
"17","3/19/24","244","January_2024","Resistant","Porites compressa",5,1.002,0.584666666666667,0.452,0.486,0.472,0.455,0.166268260292165,0.77309007981756,0.831242873432155,0.807297605473204,0.778221208665906,144,6.4237,6.9809,0.5572,22.1700295832474,"",1.87492149782475,8.71773847791501,9.37349756696172,9.10347911853072,8.77559957400737
"18","3/19/24","247","September_2023","Susceptible","Porites compressa",5,0.534,0.308666666666667,0.204,0.205,0.196333333333333,0.191333333333333,0.0897742363877822,0.660907127429806,0.66414686825054,0.636069114470842,0.619870410367171,97,2.169,2.431,0.262,6.22258914938247,"",3.60678787529671,26.5527384005175,26.682898882873,25.5548413691255,24.9040389573481
"19","3/19/24","41","September_2023","Susceptible","Porites compressa",5,0.620333333333333,0.385,0.257333333333333,0.274666666666667,0.272333333333333,0.264333333333333,0.0937583001328021,0.668398268398268,0.713419913419913,0.707359307359307,0.686580086580087,63,2.807,3.106,0.299,7.10135173918075,"",3.3007201859719,23.5306703902044,25.115637825814,24.9022768248666,24.1707533930468
