"","ColonyID","Species","Phenotype","Timepoint","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Notes"
"289","29","Porites compressa","Susceptible","October_2025",3.901,4.403,0.502,11.4379384838618,""
"290","41","Porites compressa","Susceptible","October_2025",4.4487,4.8812,0.4325,9.85439919177338,""
"291","42","Porites compressa","Resistant","October_2025",5.9902,6.7383,0.7481,17.045262509516,""
"292","43","Porites compressa","Susceptible","October_2025",4.1733,4.6989,0.5256,11.9756583010314,""
"293","44","Porites compressa","Resistant","October_2025",3.4543,3.8723,0.418,9.5240204905463,""
"294","201","Montipora capitata","Susceptible","October_2025",3.8172,4.5268,0.7096,16.168050095913,"May be an overestimation"
"295","202","Montipora capitata","Resistant","October_2025",2.7876,3.2882,0.5006,11.4060398506399,"May be an overestimation"
"296","203","Montipora capitata","Susceptible","October_2025",3.119,3.6,0.481,10.9594589855329,"Modified wax weight, previous weight was overestimation"
"297","204","Montipora capitata","Resistant","October_2025",2.0119,2.3979,0.386,8.79490887404514,""
"298","205","Montipora capitata","Susceptible","October_2025",3.0924,3.9459,0.8535,19.4467738963666,""
"299","206","Montipora capitata","Resistant","October_2025",2.8401,3.3,0.4599,10.4787010134025,"Modified wax weight, previous weight was overestimation"
"300","209","Montipora capitata","Susceptible","October_2025",2.6935,3.2544,0.5609,12.7799595529843,""
"301","210","Montipora capitata","Resistant","October_2025",5.8454,6.7144,0.869000000000001,19.7999373356094,"May be an overestimation"
"302","211","Montipora capitata","Susceptible","October_2025",1.4755,1.9621,0.4866,11.0870535184206,""
"303","213","Montipora capitata","Susceptible","October_2025",2.3337,3.2647,0.931,21.2125910925804,""
"304","214","Montipora capitata","Resistant","October_2025",3.5887,3.9145,0.3258,7.42326764550235,""
"305","221","Montipora capitata","Susceptible","October_2025",6.3825,7.1347,0.752199999999999,17.1386799353802,"May be an overestimation"
"306","225","Porites compressa","Susceptible","October_2025",3.4926,3.8635,0.3709,8.45085933000867,""
"307","226","Porites compressa","Resistant","October_2025",3.5857,4.0994,0.5137,11.704519918645,""
"308","233","Porites compressa","Susceptible","October_2025",2.8718,3.2154,0.3436,7.82883598218111,""
"309","234","Porites compressa","Resistant","October_2025",6.4252,7.1639,0.7387,16.8310859721688,""
"310","235","Porites compressa","Susceptible","October_2025",3.2737,3.6328,0.3591,8.18199942142386,""
"311","236","Porites compressa","Resistant","October_2025",7.2938,8.1209,0.827100000000001,18.8452568127532,""
"312","237","Porites compressa","Susceptible","October_2025",2.491,2.7665,0.2755,6.2771953233146,""
"313","238","Porites compressa","Resistant","October_2025",3.7753,4.209,0.4337,9.88174087739216,""
"314","239","Porites compressa","Susceptible","October_2025",3.099,3.4298,0.3308,7.53719133558065,""
"315","240","Porites compressa","Resistant","October_2025",7.0386,7.6926,0.654,14.9012186622423,""
"316","241","Porites compressa","Susceptible","October_2025",3.0255,3.3616,0.3361,7.65795044706366,""
"317","242","Porites compressa","Resistant","October_2025",2.1633,2.4746,0.3113,7.09288894427527,""
"318","243","Porites compressa","Susceptible","October_2025",3.7939,4.1396,0.3457,7.876683932014,""
"319","244","Porites compressa","Resistant","October_2025",6.6574,7.3389,0.6815,15.527798957673,"May be an overestimation"
"320","247","Porites compressa","Susceptible","October_2025",4.867,5.3772,0.5102,11.6247733355902,""
"321","248","Porites compressa","Resistant","October_2025",6.7742,7.5682,0.794,18.0910819844348,""
