"","ColonyID","Species","Phenotype","Timepoint","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Notes"
"78","212","Montipora capitata","Resistant","September_2023",1.102,1.256,0.154,3.65755240078206,""
"79","214","Montipora capitata","Resistant","September_2023",1.324,1.568,0.244,5.79508302461573,""
"80","219","Montipora capitata","Susceptible","September_2023",0.918,1.047,0.129,3.06379389416159,""
"81","220","Montipora capitata","Resistant","September_2023",2.053,2.303,0.25,5.93758506620464,""
"82","221","Montipora capitata","Susceptible","September_2023",1.688,1.878,0.19,4.51256465031553,""
"83","225","Porites compressa","Susceptible","September_2023",1.489,1.691,0.202,4.79756873349335,""
"84","226","Porites compressa","Resistant","September_2023",2.701,2.915,0.214,5.08257281667117,""
"85","233","Porites compressa","Susceptible","September_2023",2.114,2.356,0.242,5.7475823440861,""
"86","234","Porites compressa","Resistant","September_2023",2.614,2.858,0.244,5.79508302461574,""
"87","235","Porites compressa","Susceptible","September_2023",1.083,1.227,0.144,3.42004899813388,""
"88","236","Porites compressa","Resistant","September_2023",1.849,2.072,0.223,5.29632587905455,""
"89","237","Porites compressa","Susceptible","September_2023",2.53,2.815,0.285,6.7688469754733,""
"90","238","Porites compressa","Resistant","September_2023",1.881,2.109,0.228,5.41507758037864,""
"91","239","Porites compressa","Susceptible","September_2023",2.223,2.492,0.269,6.3888415312362,""
"92","240","Porites compressa","Resistant","September_2023",2.681,3.035,0.354,8.40762045374578,""
"93","241","Porites compressa","Susceptible","September_2023",2.502,2.722,0.22,5.22507485826009,""
"94","242","Porites compressa","Resistant","September_2023",2.287,2.499,0.212,5.03507213614154,""
"95","243","Porites compressa","Susceptible","September_2023",1.844,2.008,0.164,3.89505580343025,""
"96","244","Porites compressa","Resistant","September_2023",2.645,2.882,0.237,5.62883064276201,""
"97","247","Porites compressa","Susceptible","September_2023",2.169,2.431,0.262,6.22258914938247,""
"98","248","Porites compressa","Resistant","September_2023",2.076,2.283,0.207,4.91632043481744,""
"99","1","Montipora capitata","Susceptible","January_2024",4.9087,5.725,0.8163,32.4791729160174,""
"100","2","Montipora capitata","Resistant","January_2024",5.5159,6.2762,0.7603,30.2510292393091,""
"101","3","Montipora capitata","Susceptible","January_2024",2.0158,2.4469,0.4311,17.1527274826597,""
"102","4","Montipora capitata","Resistant","January_2024",4.1144,4.7292,0.6148,24.4618345078617,""
"103","12","Montipora capitata","Resistant","January_2024",4.497,5.2599,0.7629,30.3544787671563,""
