"","Timepoint","ColonyID","Species","Phenotype","cells_cm2","cells_cm2_M"
"86","September_2023","225","Porites compressa","Susceptible",484246.06132143,0.484246061321429
"87","September_2023","238","Porites compressa","Resistant",681145.346335624,0.681145346335624
"88","September_2023","26","Porites compressa","Resistant",660520.60910601,0.66052060910601
"89","September_2023","29","Porites compressa","Susceptible",703251.074239574,0.703251074239574
"90","January_2024","12","Montipora capitata","Resistant",201673.690641464,0.201673690641464
"91","January_2024","209","Montipora capitata","Susceptible",171354.578442767,0.171354578442766
"92","January_2024","235","Porites compressa","Susceptible",74299.3098965382,0.0742993098965382
"93","January_2024","242","Porites compressa","Resistant",95825.88488365,0.09582588488365
"94","January_2024","44","Porites compressa","Resistant",158763.559949377,0.158763559949377
"95","September_2023","1","Montipora capitata","Susceptible",128378.012217368,0.128378012217368
"96","September_2023","202","Montipora capitata","Resistant",427496.277157259,0.427496277157259
"97","September_2023","241","Porites compressa","Susceptible",598358.851043897,0.598358851043897
"98","September_2023","244","Porites compressa","Resistant",670566.311255908,0.670566311255908
"99","September_2023","28","Porites compressa","Resistant",611495.414068119,0.611495414068119
"100","September_2023","45","Porites compressa","Susceptible",656942.263818206,0.656942263818206
"101","January_2024","211","Montipora capitata","Susceptible",78864.2016452862,0.0788642016452862
"102","January_2024","212","Montipora capitata","Resistant",489274.467997732,0.489274467997732
"103","January_2024","247","Porites compressa","Susceptible",66893.580525075,0.066893580525075
"104","January_2024","26","Porites compressa","Resistant",37935.0241348515,0.0379350241348515
"105","January_2024","41","Porites compressa","Susceptible",21012.8884307099,0.0210128884307099
"106","January_2024","42","Porites compressa","Resistant",41393.6176354349,0.0413936176354349
"107","September_2023","209","Montipora capitata","Susceptible",224424.379282073,0.224424379282073
"108","September_2023","212","Montipora capitata","Resistant",217006.744373291,0.217006744373291
"109","September_2023","219","Montipora capitata","Susceptible",33345.1847838834,0.0333451847838834
"110","September_2023","220","Montipora capitata","Resistant",229721.215172017,0.229721215172017
"111","September_2023","234","Porites compressa","Resistant",169240.93164988,0.16924093164988
"112","September_2023","243","Porites compressa","Susceptible",732792.107483729,0.732792107483729
"113","January_2024","2","Montipora capitata","Resistant",164396.194689401,0.164396194689401
"114","January_2024","203","Montipora capitata","Susceptible",355907.247639816,0.355907247639816
"115","January_2024","234","Porites compressa","Resistant",98053.5425752871,0.0980535425752871
"116","January_2024","243","Porites compressa","Susceptible",80428.0006180486,0.0804280006180486
"117","January_2024","28","Porites compressa","Resistant",407563.824482867,0.407563824482867
"118","January_2024","43","Porites compressa","Susceptible",62943.3128287578,0.0629433128287578
"119","September_2023","201","Montipora capitata","Susceptible",70581.8441050466,0.0705818441050466
"120","September_2023","203","Montipora capitata","Susceptible",302246.484490682,0.302246484490682
"121","September_2023","206","Montipora capitata","Resistant",86948.1068140035,0.0869481068140035
"122","September_2023","214","Montipora capitata","Resistant",135276.103515706,0.135276103515706
"123","September_2023","226","Porites compressa","Resistant",856574.682206106,0.856574682206106
"124","September_2023","235","Porites compressa","Susceptible",605732.417560722,0.605732417560722
"125","September_2023","233","Porites compressa","Susceptible",407994.465248478,0.407994465248478
"126","September_2023","27","Porites compressa","Susceptible",373346.869819608,0.373346869819608
"127","September_2023","44","Porites compressa","Resistant",603713.491152366,0.603713491152366
"128","September_2023","46","Porites compressa","Resistant",62539.0681856653,0.0625390681856653
"129","January_2024","1","Montipora capitata","Susceptible",194313.599364336,0.194313599364336
"130","January_2024","204","Montipora capitata","Resistant",279288.63484375,0.27928863484375
"131","January_2024","214","Montipora capitata","Resistant",286210.234567598,0.286210234567598
"132","January_2024","221","Montipora capitata","Susceptible",464616.706034862,0.464616706034862
"133","January_2024","233","Porites compressa","Susceptible",75774.2638973594,0.0757742638973594
"134","January_2024","236","Porites compressa","Resistant",93320.3845531731,0.0933203845531731
"135","January_2024","238","Porites compressa","Resistant",174003.171521195,0.174003171521195
"136","January_2024","241","Porites compressa","Susceptible",125927.4453759,0.1259274453759
"137","May_2024","202","Montipora capitata","Resistant",29688.1657029131,0.0296881657029131
"138","May_2024","248","Porites compressa","Resistant",84349.3383876401,0.0843493383876402
"139","May_2024","219","Montipora capitata","Susceptible",189255.504094058,0.189255504094058
"140","May_2024","237","Porites compressa","Susceptible",414248.573509343,0.414248573509343
"141","May_2024","240","Porites compressa","Resistant",268066.587445302,0.268066587445302
"142","May_2024","243","Porites compressa","Susceptible",700438.187935741,0.700438187935741
"143","May_2024","3","Montipora capitata","Susceptible",106169.45551213,0.10616945551213
"144","May_2024","42","Porites compressa","Resistant",144961.115640582,0.144961115640582
"145","May_2024","201","Montipora capitata","Susceptible",81973.4760075144,0.0819734760075145
"146","May_2024","211","Montipora capitata","Susceptible",220077.503818663,0.220077503818663
"147","May_2024","214","Montipora capitata","Resistant",100390.644771432,0.100390644771432
"148","May_2024","233","Porites compressa","Susceptible",82963.9003303146,0.0829639003303146
"149","May_2024","242","Porites compressa","Resistant",256783.237122362,0.256783237122362
"150","May_2024","26","Porites compressa","Resistant",127100.929342921,0.127100929342921
"151","May_2024","20","Montipora capitata","Resistant",597569.751696304,0.597569751696304
"152","May_2024","203","Montipora capitata","Susceptible",68803.373962549,0.068803373962549
"153","May_2024","205","Montipora capitata","Susceptible",95890.0524314202,0.0958900524314202
"154","May_2024","220","Montipora capitata","Resistant",70795.0798576456,0.0707950798576456
"155","May_2024","221","Montipora capitata","Susceptible",126894.596989754,0.126894596989754
"156","May_2024","234","Porites compressa","Resistant",140329.327134461,0.140329327134461
"157","May_2024","235","Porites compressa","Susceptible",327839.781483955,0.327839781483955
"158","May_2024","241","Porites compressa","Susceptible",248780.658793553,0.248780658793553
"159","May_2024","28","Porites compressa","Resistant",172940.958440154,0.172940958440154
"160","May_2024","29","Porites compressa","Susceptible",154402.384798446,0.154402384798446
"161","May_2024","12","Montipora capitata","Resistant",2536.20098774491,0.00253620098774491
"162","May_2024","19","Montipora capitata","Susceptible",50722.2341679312,0.0507222341679312
"163","May_2024","204","Montipora capitata","Resistant",61917.5200870113,0.0619175200870113
"164","May_2024","209","Montipora capitata","Susceptible",133862.615081664,0.133862615081664
"165","May_2024","210","Montipora capitata","Resistant",131396.244329063,0.131396244329063
"166","May_2024","239","Porites compressa","Susceptible",74610.0039002295,0.0746100039002295
"167","May_2024","244","Porites compressa","Resistant",28941.6014325566,0.0289416014325566
"168","May_2024","247","Porites compressa","Susceptible",155558.082444168,0.155558082444168
"169","May_2024","4","Montipora capitata","Resistant",98381.0222041224,0.0983810222041224
"170","May_2024","41","Porites compressa","Susceptible",100427.727486789,0.100427727486789
"171","May_2024","1","Montipora capitata","Susceptible",206648.299748005,0.206648299748005
"172","May_2024","2","Montipora capitata","Resistant",80866.2787556976,0.0808662787556976
"173","May_2024","206","Montipora capitata","Resistant",202348.433834732,0.202348433834732
"174","May_2024","215",NA,NA,87857.0572936899,0.0878570572936899
"175","May_2024","225","Porites compressa","Susceptible",336767.118056566,0.336767118056566
"176","May_2024","236","Porites compressa","Resistant",235056.557355339,0.235056557355339
"177","May_2024","238","Porites compressa","Resistant",156769.904045745,0.156769904045745
"178","May_2024","27","Porites compressa","Susceptible",106839.219636577,0.106839219636577
"179","May_2024","43","Porites compressa","Susceptible",134002.788442923,0.134002788442923
"180","May_2024","44","Porites compressa","Resistant",21844.3129389726,0.0218443129389726
"181","October_2024","1","Montipora capitata","Susceptible",21977.2177869956,0.0219772177869956
"182","October_2024","2","Montipora capitata","Resistant",159709.474499921,0.159709474499921
"183","October_2024","20","Montipora capitata","Resistant",73475.3294059978,0.0734753294059978
"184","October_2024","201","Montipora capitata","Susceptible",12608.8631142415,0.0126088631142415
"185","October_2024","203","Montipora capitata","Susceptible",222519.209708711,0.222519209708711
"186","October_2024","204","Montipora capitata","Resistant",410928.013539559,0.410928013539559
"187","October_2024","206","Montipora capitata","Resistant",139555.05193075,0.13955505193075
"188","October_2024","214","Montipora capitata","Resistant",179619.937774273,0.179619937774273
"189","October_2024","221","Montipora capitata","Susceptible",113000.505747608,0.113000505747608
"190","October_2024","241","Porites compressa","Susceptible",83415.2410638317,0.0834152410638317
"191","October_2024","26","Porites compressa","Resistant",68588.2155205512,0.0685882155205512
"192","October_2024","27","Porites compressa","Susceptible",600870.498906821,0.600870498906821
"193","October_2024","12","Montipora capitata","Resistant",147154.527782934,0.147154527782934
"194","October_2024","210","Montipora capitata","Resistant",91932.4838034786,0.0919324838034786
"195","October_2024","226","Porites compressa","Resistant",7614.8437086218,0.0076148437086218
"196","October_2024","233","Porites compressa","Susceptible",100575.524836687,0.100575524836687
"197","October_2024","237","Porites compressa","Susceptible",353249.909457029,0.353249909457029
"198","October_2024","238","Porites compressa","Resistant",78793.3263998639,0.0787933263998639
"199","October_2024","243","Porites compressa","Susceptible",19278.4323993087,0.0192784323993087
"200","October_2024","41","Porites compressa","Susceptible",176114.29870705,0.17611429870705
"201","October_2024","42","Porites compressa","Resistant",164954.034050404,0.164954034050404
"202","October_2024","43","Porites compressa","Susceptible",196963.897382299,0.196963897382299
"203","October_2024","19","Montipora capitata","Susceptible",61573.0641178575,0.0615730641178575
"204","October_2024","202","Montipora capitata","Resistant",73522.1399964851,0.0735221399964851
"205","October_2024","205","Montipora capitata","Susceptible",60504.2396836885,0.0605042396836885
"206","October_2024","213","Montipora capitata","Susceptible",55638.4034557795,0.0556384034557795
"207","October_2024","219","Montipora capitata","Susceptible",68494.2385240503,0.0684942385240503
"208","October_2024","220","Montipora capitata","Resistant",170414.719530035,0.170414719530035
"209","October_2024","225","Porites compressa","Susceptible",67972.6706696873,0.0679726706696873
"210","October_2024","234","Porites compressa","Resistant",23688.0627656458,0.0236880627656458
"211","October_2024","235","Porites compressa","Susceptible",94080.305333678,0.094080305333678
"212","October_2024","236","Porites compressa","Resistant",267176.198868572,0.267176198868572
"213","October_2024","239","Porites compressa","Susceptible",54920.48154789,0.05492048154789
"214","October_2024","240","Porites compressa","Resistant",38950.9303203521,0.0389509303203521
"215","October_2024","242","Porites compressa","Resistant",144161.563143997,0.144161563143997
"216","October_2024","244","Porites compressa","Resistant",41081.5683405828,0.0410815683405828
"217","October_2024","247","Porites compressa","Susceptible",149771.888629439,0.149771888629439
"218","October_2024","248","Porites compressa","Resistant",111685.421098343,0.111685421098343
"219","October_2024","28","Porites compressa","Resistant",22875.5881213665,0.0228755881213665
"220","October_2024","29","Porites compressa","Susceptible",65883.8095278448,0.0658838095278448
"221","October_2024","3","Montipora capitata","Susceptible",77791.7236394861,0.0777917236394861
"222","October_2024","4","Montipora capitata","Resistant",46324.7196662606,0.0463247196662606
"223","October_2024","44","Porites compressa","Resistant",71551.5618939418,0.0715515618939418
"224","January_2025","1","Montipora capitata","Susceptible",25746.2712762608,0.0257462712762608
"225","January_2025","2","Montipora capitata","Resistant",107840.498644944,0.107840498644944
"226","January_2025","20","Montipora capitata","Resistant",217657.365159198,0.217657365159198
"227","January_2025","206","Montipora capitata","Resistant",148630.767152854,0.148630767152854
"228","January_2025","214","Montipora capitata","Resistant",30872.1427064386,0.0308721427064386
"229","January_2025","221","Montipora capitata","Susceptible",13302.3954285833,0.0133023954285833
"230","January_2025","233","Porites compressa","Susceptible",28231.6254922111,0.0282316254922111
"231","January_2025","239","Porites compressa","Susceptible",181763.355529378,0.181763355529378
"232","January_2025","242","Porites compressa","Resistant",76589.0133175123,0.0765890133175123
"233","January_2025","243","Porites compressa","Susceptible",118137.929847227,0.118137929847227
"234","January_2025","29","Porites compressa","Susceptible",125480.278011791,0.125480278011791
"235","January_2025","3","Montipora capitata","Susceptible",4907.17737026066,0.00490717737026066
"236","January_2025","201","Montipora capitata","Susceptible",36326.7741927652,0.0363267741927652
"237","January_2025","205","Montipora capitata","Susceptible",36153.503517684,0.036153503517684
"238","January_2025","211","Montipora capitata","Susceptible",51869.6031823243,0.0518696031823243
"239","January_2025","219","Montipora capitata","Susceptible",19070.294820455,0.019070294820455
"240","January_2025","225","Porites compressa","Susceptible",117338.26603424,0.11733826603424
"241","January_2025","226","Porites compressa","Resistant",162700.766737822,0.162700766737822
"242","January_2025","238","Porites compressa","Resistant",100191.205453611,0.100191205453611
"243","January_2025","240","Porites compressa","Resistant",10893.6272037714,0.0108936272037714
"244","January_2025","244","Porites compressa","Resistant",46140.0234515639,0.0461400234515639
"245","January_2025","248","Porites compressa","Resistant",54502.4083859607,0.0545024083859607
"246","January_2025","28","Porites compressa","Resistant",49062.1369942375,0.0490621369942375
"247","January_2025","44","Porites compressa","Resistant",43760.2025980388,0.0437602025980388
"248","January_2025","19","Montipora capitata","Susceptible",29497.7253851704,0.0294977253851704
"249","January_2025","202","Montipora capitata","Resistant",11131.8484519628,0.0111318484519628
"250","January_2025","204","Montipora capitata","Resistant",38107.8669435423,0.0381078669435423
"251","January_2025","209","Montipora capitata","Susceptible",50460.2287335774,0.0504602287335774
"252","January_2025","234","Porites compressa","Resistant",15963.838592215,0.015963838592215
"253","January_2025","235","Porites compressa","Susceptible",56204.2386767263,0.0562042386767263
"254","January_2025","236","Porites compressa","Resistant",13971.1623263306,0.0139711623263306
"255","January_2025","237","Porites compressa","Susceptible",59770.1956561402,0.0597701956561402
"256","January_2025","26","Porites compressa","Resistant",25809.3586328149,0.0258093586328149
"257","January_2025","27","Porites compressa","Susceptible",52556.3210579256,0.0525563210579256
"258","January_2025","4","Montipora capitata","Resistant",15219.838905704,0.015219838905704
"259","January_2025","43","Porites compressa","Susceptible",38647.5223558818,0.0386475223558818
"260","January_2025","12","Montipora capitata","Resistant",4733.84766090812,0.00473384766090812
"261","January_2025","203","Montipora capitata","Susceptible",38270.014151333,0.038270014151333
"262","January_2025","210","Montipora capitata","Resistant",21118.7844043813,0.0211187844043813
"263","January_2025","213","Montipora capitata","Susceptible",12780.105962085,0.012780105962085
"264","January_2025","220","Montipora capitata","Resistant",35111.7584636913,0.0351117584636913
"265","January_2025","241","Porites compressa","Susceptible",60862.8076792281,0.0608628076792282
"266","January_2025","247","Porites compressa","Susceptible",28944.8581965218,0.0289448581965218
"267","May_2025","209","Montipora capitata","Susceptible",80621.969398554,0.080621969398554
"268","May_2025","213","Montipora capitata","Susceptible",261909.396504144,0.261909396504144
"269","May_2025","235","Porites compressa","Susceptible",250662.335421219,0.250662335421219
"270","May_2025","28","Porites compressa","Resistant",69468.1002920685,0.0694681002920685
"271","May_2025","205","Montipora capitata","Susceptible",135259.109880494,0.135259109880494
"272","May_2025","206","Montipora capitata","Resistant",61963.274547595,0.061963274547595
"273","May_2025","210","Montipora capitata","Resistant",233836.597720885,0.233836597720885
"274","May_2025","214","Montipora capitata","Resistant",175790.652638039,0.175790652638039
"275","May_2025","233","Porites compressa","Susceptible",158199.067000835,0.158199067000835
"276","May_2025","237","Porites compressa","Susceptible",147203.715653126,0.147203715653126
"277","May_2025","243","Porites compressa","Susceptible",339708.439957116,0.339708439957116
"278","May_2025","244","Porites compressa","Resistant",97025.0691379742,0.0970250691379742
"279","May_2025","1","Montipora capitata","Susceptible",71507.5651556267,0.0715075651556267
"280","May_2025","19","Montipora capitata","Susceptible",134058.5855986,0.1340585855986
"281","May_2025","239","Porites compressa","Susceptible",311830.74193254,0.31183074193254
"282","May_2025","29","Porites compressa","Susceptible",180293.887459913,0.180293887459913
"283","May_2025","4","Montipora capitata","Resistant",110108.510931558,0.110108510931558
"284","May_2025","42","Porites compressa","Resistant",190996.34726151,0.19099634726151
"285","May_2025","44","Porites compressa","Resistant",256839.032781479,0.256839032781479
"286","May_2025","201","Montipora capitata","Susceptible",160513.110697558,0.160513110697558
"287","May_2025","211","Montipora capitata","Susceptible",233102.829444424,0.233102829444424
"288","May_2025","219","Montipora capitata","Susceptible",420051.331854605,0.420051331854605
"289","May_2025","236","Porites compressa","Resistant",278876.717449201,0.278876717449201
"290","May_2025","240","Porites compressa","Resistant",336086.671356243,0.336086671356243
"291","May_2025","27","Porites compressa","Susceptible",320139.242098678,0.320139242098678
"292","May_2025","3","Montipora capitata","Susceptible",114747.153995761,0.114747153995761
"293","May_2025","43","Porites compressa","Susceptible",258911.768778614,0.258911768778614
"294","April_2023","28",NA,NA,NA,NA
"295","April_2023","29",NA,NA,NA,NA
"296","April_2023","41",NA,NA,NA,NA
"297","April_2023","42",NA,NA,NA,NA
"298","April_2023","43",NA,NA,NA,NA
"299","April_2023","44",NA,NA,NA,NA
"300","April_2023","45",NA,NA,NA,NA
"301","September_2023","236",NA,NA,NA,NA
"302","September_2023","237",NA,NA,NA,NA
"303","January_2024","27",NA,NA,NA,NA
"304","May_2024","213",NA,NA,NA,NA
"305","October_2024","209",NA,NA,NA,NA
"306","October_2024","211",NA,NA,NA,NA
"307","October_2025","4",NA,NA,NA,NA
"308","October_2025","12",NA,NA,NA,NA
"309","October_2025","19",NA,NA,NA,NA
"310","October_2025","26",NA,NA,NA,NA
"311","October_2025","27",NA,NA,NA,NA
"312","October_2025","29",NA,NA,NA,NA
"313","October_2025","42",NA,NA,NA,NA
"314","October_2025","43",NA,NA,NA,NA
"315","October_2025","44",NA,NA,NA,NA
"316","October_2025","201",NA,NA,NA,NA
"317","October_2025","203",NA,NA,NA,NA
"318","October_2025","210",NA,NA,NA,NA
"319","October_2025","211",NA,NA,NA,NA
"320","October_2025","213",NA,NA,NA,NA
"321","October_2025","214",NA,NA,NA,NA
"322","October_2025","221",NA,NA,NA,NA
"323","October_2025","226",NA,NA,NA,NA
"324","October_2025","233",NA,NA,NA,NA
"325","October_2025","234",NA,NA,NA,NA
"326","October_2025","238",NA,NA,NA,NA
"327","October_2025","241",NA,NA,NA,NA
"328","October_2025","242",NA,NA,NA,NA
"329","May_2025","2",NA,NA,NA,NA
"330","May_2025","12",NA,NA,NA,NA
"331","May_2025","20",NA,NA,NA,NA
"332","May_2025","26",NA,NA,NA,NA
"333","May_2025","41",NA,NA,NA,NA
"334","May_2025","202",NA,NA,NA,NA
"335","May_2025","203",NA,NA,NA,NA
"336","May_2025","204",NA,NA,NA,NA
"337","May_2025","220",NA,NA,NA,NA
"338","May_2025","221",NA,NA,NA,NA
"339","May_2025","225",NA,NA,NA,NA
"340","May_2025","226",NA,NA,NA,NA
"341","May_2025","234",NA,NA,NA,NA
"342","May_2025","238",NA,NA,NA,NA
"343","May_2025","241",NA,NA,NA,NA
"344","May_2025","242",NA,NA,NA,NA
"345","May_2025","247",NA,NA,NA,NA
"346","May_2025","248",NA,NA,NA,NA
"347","October_2025","1","Montipora capitata","Susceptible",2094995.25936376,2.09499525936376
"348","October_2025","1","Montipora capitata","Susceptible",2757501.41718706,2.75750141718706
"349","October_2025","2","Montipora capitata","Resistant",168621.99621302,0.16862199621302
"350","October_2025","20","Montipora capitata","Resistant",365643.288964417,0.365643288964417
"351","October_2025","202","Montipora capitata","Resistant",348499.571459677,0.348499571459677
"352","October_2025","204","Montipora capitata","Resistant",245170.249161235,0.245170249161235
"353","October_2025","205","Montipora capitata","Susceptible",224073.155949746,0.224073155949746
"354","October_2025","206","Montipora capitata","Resistant",667783.152802054,0.667783152802054
"355","October_2025","209","Montipora capitata","Susceptible",127699.934669895,0.127699934669895
"356","October_2025","210","Montipora capitata","Resistant",289016.066212912,0.289016066212912
"357","October_2025","221","Montipora capitata","Susceptible",315514.38152696,0.31551438152696
"358","October_2025","225","Porites compressa","Susceptible",726849.159373441,0.726849159373441
"359","October_2025","226","Porites compressa","Resistant",352855.138758918,0.352855138758918
"360","October_2025","235","Porites compressa","Susceptible",473906.168930677,0.473906168930677
"361","October_2025","236","Porites compressa","Resistant",488319.16123172,0.48831916123172
"362","October_2025","237","Porites compressa","Susceptible",1569968.67110329,1.56996867110329
"363","October_2025","239","Porites compressa","Susceptible",2316512.77281193,2.31651277281193
"364","October_2025","240","Porites compressa","Resistant",633169.689933283,0.633169689933283
"365","October_2025","243","Porites compressa","Susceptible",874098.803433841,0.874098803433841
"366","October_2025","244","Porites compressa","Resistant",656886.402754443,0.656886402754443
"367","October_2025","247","Porites compressa","Susceptible",1143248.09751873,1.14324809751873
"368","October_2025","247","Porites compressa","Susceptible",918727.590782549,0.918727590782549
"369","October_2025","248","Porites compressa","Resistant",483801.909003037,0.483801909003037
"370","October_2025","27","Porites compressa","Susceptible",635472.797806924,0.635472797806924
"371","October_2025","28","Porites compressa","Resistant",1206337.84664393,1.20633784664393
"372","October_2025","3","Montipora capitata","Susceptible",76884.3915693904,0.0768843915693904
"373","October_2025","41","Porites compressa","Susceptible",556350.508367561,0.556350508367561
