"","Timepoint","ColonyID","Species","Phenotype","cells_cm2","cells_cm2_M"
"1","April_2023","1","Montipora capitata","Susceptible",277031.001245395,0.277031001245395
"2","April_2023","11","Montipora capitata","Susceptible",671373.66435794,0.67137366435794
"3","April_2023","12","Montipora capitata","Resistant",509876.261313778,0.509876261313778
"4","April_2023","15","Montipora capitata","Susceptible",984952.258141089,0.984952258141089
"5","April_2023","16","Montipora capitata","Resistant",544934.983273329,0.544934983273329
"6","April_2023","19","Montipora capitata","Susceptible",342824.883949787,0.342824883949787
"7","April_2023","2","Montipora capitata","Resistant",783430.683649679,0.783430683649679
"8","April_2023","26","Porites compressa","Resistant",980640.299228623,0.980640299228623
"9","April_2023","27","Porites compressa","Susceptible",745575.749015638,0.745575749015638
"10","April_2023","3","Montipora capitata","Susceptible",341722.225599811,0.341722225599811
"11","April_2023","4","Montipora capitata","Resistant",720820.471955792,0.720820471955792
"12","April_2023","209","Montipora capitata","Susceptible",324502.302364854,0.324502302364854
"13","April_2023","210","Montipora capitata","Resistant",377651.252271523,0.377651252271523
"14","April_2023","211","Montipora capitata","Susceptible",106694.888838724,0.106694888838724
"15","April_2023","212","Montipora capitata","Resistant",194174.091122376,0.194174091122376
"16","April_2023","213","Montipora capitata","Susceptible",523354.342087702,0.523354342087702
"17","April_2023","214","Montipora capitata","Resistant",908186.397015226,0.908186397015226
"18","April_2023","217","Montipora capitata","Susceptible",364761.419219049,0.364761419219049
"19","April_2023","218","Montipora capitata","Resistant",711352.46878402,0.71135246878402
"20","April_2023","219","Montipora capitata","Susceptible",395984.983288094,0.395984983288094
"21","April_2023","220","Montipora capitata","Resistant",541705.126456842,0.541705126456842
"22","April_2023","221","Montipora capitata","Susceptible",775851.772961039,0.775851772961039
"23","April_2023","222","Montipora capitata","Resistant",452497.436386472,0.452497436386472
"24","April_2023","240","Porites compressa","Resistant",290766.930426342,0.290766930426342
"25","April_2023","241","Porites compressa","Susceptible",850536.152369939,0.850536152369939
"26","April_2023","242","Porites compressa","Resistant",347480.353668509,0.347480353668509
"27","April_2023","243","Porites compressa","Susceptible",1101285.42595495,1.10128542595495
"28","April_2023","248","Porites compressa","Resistant",525181.458993124,0.525181458993124
"29","April_2023","20","Montipora capitata","Resistant",435120.861064784,0.435120861064784
"30","April_2023","201","Montipora capitata","Susceptible",34480.9087643355,0.0344809087643355
"31","April_2023","202","Montipora capitata","Resistant",97022.4600376505,0.0970224600376505
"32","April_2023","203","Montipora capitata","Susceptible",381454.830285642,0.381454830285642
"33","April_2023","204","Montipora capitata","Resistant",90587.9578457382,0.0905879578457382
"34","April_2023","206","Montipora capitata","Resistant",151268.034711744,0.151268034711744
"35","April_2023","207","Montipora capitata","Susceptible",47353.7020549708,0.0473537020549708
"36","April_2023","208","Montipora capitata","Resistant",149002.642866095,0.149002642866095
"37","April_2023","225","Porites compressa","Susceptible",327751.972343924,0.327751972343924
"38","April_2023","226","Porites compressa","Resistant",640820.227602415,0.640820227602416
"39","April_2023","233","Porites compressa","Susceptible",184538.9085691,0.1845389085691
"40","April_2023","234","Porites compressa","Resistant",216848.038170576,0.216848038170576
"41","April_2023","235","Porites compressa","Susceptible",94660.6214353238,0.0946606214353238
"42","April_2023","236","Porites compressa","Resistant",171181.093412451,0.171181093412451
"43","April_2023","237","Porites compressa","Susceptible",145328.377832089,0.145328377832089
"44","April_2023","238","Porites compressa","Resistant",239457.317383525,0.239457317383525
"45","April_2023","46","Porites compressa","Resistant",216714.494676502,0.216714494676502
"46","January_2024","219","Montipora capitata","Susceptible",85270.2929660066,0.0852702929660066
"47","January_2024","220","Montipora capitata","Resistant",256910.672455423,0.256910672455423
"48","January_2024","237","Porites compressa","Susceptible",379726.876202491,0.379726876202491
"49","January_2024","46","Porites compressa","Resistant",284299.833248128,0.284299833248128
"50","September_2023","20","Montipora capitata","Resistant",866115.794513251,0.866115794513251
"51","September_2023","205","Montipora capitata","Susceptible",252460.769478959,0.252460769478959
"52","September_2023","248","Porites compressa","Resistant",403637.668004557,0.403637668004557
"53","September_2023","3","Montipora capitata","Susceptible",192971.599833444,0.192971599833444
"54","September_2023","4","Montipora capitata","Resistant",209952.493847544,0.209952493847544
"55","September_2023","42","Porites compressa","Resistant",214226.574799146,0.214226574799146
"56","January_2024","201","Montipora capitata","Susceptible",110536.841890596,0.110536841890596
"57","January_2024","206","Montipora capitata","Resistant",287798.930698455,0.287798930698455
"58","January_2024","225","Porites compressa","Susceptible",188875.884616208,0.188875884616208
"59","January_2024","226","Porites compressa","Resistant",249598.664207817,0.249598664207817
"60","January_2024","244","Porites compressa","Resistant",387666.247480937,0.387666247480937
"61","January_2024","45","Porites compressa","Susceptible",493882.511940493,0.493882511940493
"62","September_2023","210","Montipora capitata","Resistant",339832.818978983,0.339832818978983
"63","September_2023","221","Montipora capitata","Susceptible",228249.959427456,0.228249959427456
"64","September_2023","247","Porites compressa","Susceptible",572445.519662082,0.572445519662082
"65","September_2023","41","Porites compressa","Susceptible",459697.107659545,0.459697107659545
"66","January_2024","20","Montipora capitata","Resistant",238657.760817512,0.238657760817512
"67","January_2024","202","Montipora capitata","Resistant",205892.391377559,0.205892391377559
"68","January_2024","205","Montipora capitata","Susceptible",315574.954377425,0.315574954377425
"69","January_2024","240","Porites compressa","Resistant",568411.197453464,0.568411197453464
"70","January_2024","29","Porites compressa","Susceptible",252775.927459278,0.252775927459278
"71","January_2024","3","Montipora capitata","Susceptible",94783.7277952064,0.0947837277952064
"72","September_2023","19","Montipora capitata","Susceptible",158009.879630251,0.158009879630251
"73","September_2023","2","Montipora capitata","Resistant",451443.879816504,0.451443879816504
"74","September_2023","239","Porites compressa","Susceptible",466021.007120859,0.466021007120859
"75","September_2023","240","Porites compressa","Resistant",614549.984632017,0.614549984632017
"76","September_2023","242","Porites compressa","Resistant",556554.453781292,0.556554453781292
"77","September_2023","43","Porites compressa","Susceptible",552492.63729367,0.55249263729367
"78","January_2024","19","Montipora capitata","Susceptible",192115.94137616,0.19211594137616
"79","January_2024","210","Montipora capitata","Resistant",140281.147590856,0.140281147590856
"80","January_2024","213","Montipora capitata","Susceptible",186232.891015042,0.186232891015042
"81","January_2024","239","Porites compressa","Susceptible",268868.359888527,0.268868359888527
"82","January_2024","248","Porites compressa","Resistant",112159.181978487,0.112159181978487
"83","January_2024","4","Montipora capitata","Resistant",186170.062120903,0.186170062120903
"84","September_2023","204","Montipora capitata","Resistant",185103.779441888,0.185103779441888
"85","September_2023","211","Montipora capitata","Susceptible",131329.687667305,0.131329687667305
