,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.17,0.17,0.168,0.186,0.196,0.195,0.208,0.216,0.214,0.177,0.186,0.186,630
B,0.173,0.178,0.177,0.22,0.232,0.237,0.141,0.146,0.144,0.211,0.216,0.217,630
C,0.203,0.206,0.208,0.231,0.246,0.244,0.181,0.184,0.184,0.246,0.254,0.256,630
D,0.216,0.226,0.228,0.303,0.315,0.317,0.285,0.294,0.304,0.163,0.169,0.168,630
E,0.356,0.356,0.37,0.281,0.292,0.294,0.218,0.228,0.228,0.218,0.224,0.222,630
F,0.291,0.298,0.301,0.114,0.116,0.112,0.398,0.419,0.418,0.366,0.382,0.385,630
G,0.237,0.245,0.247,0.167,0.166,0.169,0.209,0.215,0.22,0.19,0.202,0.201,630
H,0.247,0.25,0.249,0.241,0.247,0.251,0.249,0.25,0.259,0.075,0.074,0.079,630
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.433,0.45,0.451,0.581,0.628,0.627,0.536,0.561,0.551,0.523,0.563,0.551,663
B,0.489,0.518,0.516,0.731,0.783,0.793,0.338,0.354,0.353,0.716,0.75,0.753,663
C,0.621,0.667,0.673,0.735,0.796,0.79,0.549,0.569,0.563,0.839,0.884,0.882,663
D,0.632,0.677,0.674,1.069,1.14,1.143,1.009,1.053,1.06,0.435,0.455,0.45,663
E,1.072,1.075,1.124,0.95,1.011,1.017,0.686,0.729,0.729,0.634,0.662,0.655,663
F,1.01,1.053,1.07,0.209,0.22,0.216,1.489,1.561,1.572,1.353,1.449,1.442,663
G,0.756,0.803,0.797,0.457,0.476,0.48,0.712,0.747,0.759,0.558,0.624,0.613,663
H,0.75,0.772,0.766,0.895,0.945,0.939,0.819,0.85,0.862,0.07,0.07,0.071,663
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.077,0.074,0.072,0.073,0.074,0.075,0.071,0.074,0.076,0.068,0.07,0.07,750
B,0.074,0.071,0.07,0.067,0.069,0.07,0.07,0.073,0.068,0.069,0.067,0.067,750
C,0.071,0.066,0.067,0.067,0.067,0.068,0.068,0.068,0.068,0.069,0.069,0.069,750
D,0.073,0.068,0.073,0.07,0.068,0.07,0.07,0.067,0.077,0.066,0.068,0.068,750
E,0.072,0.069,0.073,0.071,0.068,0.068,0.069,0.069,0.071,0.069,0.07,0.069,750
F,0.069,0.068,0.068,0.072,0.07,0.066,0.068,0.069,0.072,0.067,0.067,0.071,750
G,0.071,0.066,0.067,0.071,0.065,0.068,0.067,0.066,0.069,0.067,0.069,0.068,750
H,0.064,0.061,0.067,0.072,0.07,0.071,0.074,0.066,0.073,0.063,0.061,0.067,750
